transaccion_id,perfil_id,version_perfil_aplicada,fecha,descripcion_original,descripcion_normalizada,valor,moneda,direccion,tipo_movimiento,categoria_principal,subcategoria,finalidad,esencialidad,relacion_actividad,relacion_hobby,meta_relacionada,nota_usuario,es_recurrente,estado_clasificacion,estado_alcance_mvp,requiere_confirmacion,motivo_confirmacion,evidencia_contextual,confianza_objetivo,etiqueta_revisada,canal,particion,historia_financiera_controlada,es_sintetico,version_taxonomia,version_esquema,estado_ingreso_perfil,regularidad_movimiento,modalidad_ingreso_observada,categoria_confirmada_usuario,confirmacion_usuario,fuente_etiqueta,ocurrencias_previas_90d,meses_previos_con_movimiento,dias_desde_movimiento_similar,variacion_valor_previa_pct,historial_regularidad_disponible,criterio_regularidad,fuente_regularidad,regularidad_confirmada_usuario,huella_registro
TX_0001_0014,PERF_0001,perfil_estructurado_v2.0,2026-04-12,FACTURA AGUA,factura agua,116000,COP,salida,gasto,Servicios,agua,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura agua,0.988,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,8d461e1b67a358dd2dc2dec6c8404989b858118a8f61790b1fcd8b8ffb90913f
TX_0001_0015,PERF_0001,perfil_estructurado_v2.0,2026-04-12,ARREGLO VIVIENDA,arreglo vivienda,88000,COP,salida,gasto,Vivienda,reparación,consumo_personal,necesaria,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:arreglo vivienda,0.978,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Vivienda,si,historia_controlada_y_confirmacion_usuario,1,0,5,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,3b5b81f253bd58aab0fe3726894695f6d5172e292b06dd09fcd9673cf51076c9
TX_0001_0016,PERF_0001,perfil_estructurado_v2.0,2026-04-12,COPAGO SALUD,copago salud,127000,COP,salida,gasto,Salud,consulta,consumo_personal,esencial,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:copago salud,0.951,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Salud,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,f871b16817077f2ce7b9a30c7acccd750bc5003cd012c265dc3aa7533382038f
TX_0001_0017,PERF_0001,perfil_estructurado_v2.0,2026-04-13,RESTAURANTE,restaurante,86000,COP,salida,gasto,Alimentación,restaurante,consumo_personal,discrecional,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:restaurante,0.901,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,2f89686a824008df34c6e871157dc4cc209f1f06313253c4ea9c42922c6b5637
TX_0001_0018,PERF_0001,perfil_estructurado_v2.0,2026-04-14,CAFE,cafe,42000,COP,salida,gasto,Alimentación,cafetería,consumo_personal,discrecional,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:cafe,0.871,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,0328106224f4c1785f660a71464b8f3a75c5e1e46295fa683d141d6c0d6c3dfc
TX_0001_0019,PERF_0001,perfil_estructurado_v2.0,2026-04-15,FACTURA INTERNET,factura internet,68000,COP,salida,gasto,Servicios,internet,consumo_mixto,esencial,,,,,si,ambigua,dentro_del_mvp,si,uso_personal_o_laboral_no_resoluble_por_el_texto_bancario,descripcion:factura internet,0.46,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,1,0,3,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,fd23873597082e75ebcb7b634df46ceb416adbd5771b04ae2ebcc6ca1a3757ee
TX_0001_0020,PERF_0001,perfil_estructurado_v2.0,2026-04-16,DOMINIO Y HOSTING,dominio y hosting,129000,COP,salida,gasto,Inversión productiva,tecnología y software,laboral,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad:ingenieria_y_desarrollo_de_software | descripcion:dominio y hosting,0.951,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Inversión productiva,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,d8aaf8939ff759e7b36baf1620aa71ed7bee4176a312523e38e0a3173edfe872
TX_0001_0021,PERF_0001,perfil_estructurado_v2.0,2026-04-16,HOTEL VIAJE,hotel viaje,87000,COP,salida,gasto,Ocio,viajes,hobby,protegida,,turismo_y_viajes,,,si,clasificada,dentro_del_mvp,no,,hobby:turismo_y_viajes | descripcion:hotel viaje,0.87,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Ocio,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,99f678d4c99b24c79e45f48a8b29b53e7c08529f0f5edb02b2627ffd6983cb4c
TX_0001_0022,PERF_0001,perfil_estructurado_v2.0,2026-04-19,DOMINIO Y HOSTING,dominio y hosting,204000,COP,salida,gasto,Inversión productiva,equipos y maquinaria,laboral,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad:ingenieria_y_desarrollo_de_software | descripcion:dominio y hosting,0.968,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Inversión productiva,si,historia_controlada_y_confirmacion_usuario,1,0,3,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,1a6fb2bf8082f87083573fe0dd8dc3ed34f9fbfbab41bda2ec8bc05342b2c5e0
TX_0001_0023,PERF_0001,perfil_estructurado_v2.0,2026-04-20,FACTURA ENERGIA,factura energia,143000,COP,salida,gasto,Servicios,energía,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura energia,0.876,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,febe878a478dcb0d63547271733439839140d935654b00a77f64767b0b430e7d
TX_0001_0024,PERF_0001,perfil_estructurado_v2.0,2026-04-20,FACTURA ENERGIA,factura energia,108000,COP,salida,gasto,Servicios,energía,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura energia,0.87,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,1,0,0,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,526408d16955f6babcd89f3696767646a2197c79c69a1fc5ab0a8ab17233a94b
TX_0001_0025,PERF_0001,perfil_estructurado_v2.0,2026-04-20,FACTURA ENERGIA,factura energia,145000,COP,salida,gasto,Servicios,energía,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura energia,0.862,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,2,0,0,13.94,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,41efc045939545df8fa40e636f9c80d1d6f5405c5f2bb63f5f93c33eb77cedc2
TX_0001_0026,PERF_0001,perfil_estructurado_v2.0,2026-04-20,FACTURA INTERNET,factura internet,131000,COP,salida,gasto,Servicios,internet,consumo_mixto,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura internet,0.955,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,2,0,5,31.31,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,7005c0451cc5f37f7b58ca764877aa1a4256bc0e22cd3c89461c4d6739274c3c
TX_0001_0027,PERF_0001,perfil_estructurado_v2.0,2026-05-05,PAGO INGRESO PRINCIPAL,pago ingreso principal,1350000,COP,entrada,ingreso_generado,Ingresos laborales,ingreso principal recurrente,generacion_ingreso,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad_cuoc:25120,0.98,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,mixto,Ingresos laborales,si,historia_controlada_y_confirmacion_usuario,1,1,30,,si,modalidad_de_ingreso_observada,historia_controlada_mvp_v2,no,56607486f7dd1bf771def5604cf74c6b3324ae7bd6d72ae5baa8e9639f7a66fa
TX_0001_0028,PERF_0001,perfil_estructurado_v2.0,2026-04-29,SUPERMERCADO,supermercado,147000,COP,salida,gasto,Alimentación,mercado,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:supermercado,0.93,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,30c945cb2abcf63f04957a726cad53e210cefe7b733aaea0243eda7a917dcdb8
TX_0001_0029,PERF_0001,perfil_estructurado_v2.0,2026-04-29,CAFETERIA,cafeteria,102000,COP,salida,gasto,Alimentación,cafetería,consumo_personal,discrecional,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:cafeteria,0.951,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,83a7bddb2f7acd3360409e5ffaf61c342d59bc744bd711562aada00aaf290b12
TX_0001_0030,PERF_0001,perfil_estructurado_v2.0,2026-04-29,LABORATORIO CLINICO,laboratorio clinico,129000,COP,salida,gasto,Salud,examen,consumo_personal,esencial,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:laboratorio clinico,0.885,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Salud,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,8d4fa666064606e7be1a04e3cf17130b3e030357bb38da99bbf64a5801922171
TX_0001_0031,PERF_0001,perfil_estructurado_v2.0,2026-04-30,ESTACION SERVICIO,estacion servicio,63000,COP,salida,gasto,Transporte,combustible,consumo_mixto,mixta,,,,,si,ambigua,dentro_del_mvp,si,uso_personal_o_laboral_no_resoluble_por_el_texto_bancario,descripcion:estacion servicio,0.613,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Transporte,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,2a114fec1618c5122422e6a8fbe201358479ec27eecaf2dd98693bc6b6cb413b
TX_0001_0032,PERF_0001,perfil_estructurado_v2.0,2026-04-30,MEDICAMENTOS,medicamentos,160000,COP,salida,gasto,Salud,medicamentos,consumo_personal,esencial,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:medicamentos,0.931,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Salud,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,02a882f034ad0533c1446a1688e37e50b352c5d39d7d2b4ca62cfabf83824ab5
TX_0001_0033,PERF_0001,perfil_estructurado_v2.0,2026-06-05,PAGO INGRESO PRINCIPAL,pago ingreso principal,1350000,COP,entrada,ingreso_generado,Ingresos laborales,ingreso principal recurrente,generacion_ingreso,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad_cuoc:25120,0.98,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,mixto,Ingresos laborales,si,historia_controlada_y_confirmacion_usuario,2,2,31,0,si,modalidad_de_ingreso_observada,historia_controlada_mvp_v2,no,80ad80eb3b29beb57086ca69a0420e8240a93a5133a530d9b24209a34afff942
TX_0001_0034,PERF_0001,perfil_estructurado_v2.0,2026-05-03,SUPERMERCADO,supermercado,151000,COP,salida,gasto,Alimentación,mercado,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:supermercado,0.981,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,1,1,4,,si,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,8a72b3448448c0f0ff2e06933189c4582a51f69c8a19874894651a18bd4cb476
TX_0001_0035,PERF_0001,perfil_estructurado_v2.0,2026-05-05,PAGO ARRIENDO,pago arriendo,583000,COP,salida,gasto,Vivienda,arriendo,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:pago arriendo,0.928,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Vivienda,si,historia_controlada_y_confirmacion_usuario,1,1,33,,si,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,1be694e869b48df20335437078a43c29977f347ae4158e428a3199d1b4527384
TX_0001_0036,PERF_0001,perfil_estructurado_v2.0,2026-05-05,CAPACITACION,capacitacion,100000,COP,salida,gasto,Educación,cursos,consumo_mixto,productiva,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:capacitacion,0.963,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Educación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,9adcc2c98da4559f07cad5ba86119ba39ca70d270228be4f62b376eb74c10544
TX_0001_0037,PERF_0001,perfil_estructurado_v2.0,2026-05-05,CAFETERIA,cafeteria,84000,COP,salida,gasto,Alimentación,cafetería,consumo_personal,discrecional,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:cafeteria,0.895,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,1,1,6,,si,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,0820865e0f4d7d025c09aa858be19dad2d74f38ce0053a0dff73bf8b2c77bf09
TX_0001_0038,PERF_0001,perfil_estructurado_v2.0,2026-05-05,ADMINISTRACION CONJUNTO,administracion conjunto,114000,COP,salida,gasto,Vivienda,administración,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:administracion conjunto,0.964,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Vivienda,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,0bc328fa92e348dbdd0f89af2fe0f08ab3750020a8d86089b7a371046ae4dd7b
TX_0001_0039,PERF_0001,perfil_estructurado_v2.0,2026-05-10,DOMINIO Y HOSTING,dominio y hosting,123000,COP,salida,gasto,Inversión productiva,creación o ampliación de proyectos,laboral,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad:ingenieria_y_desarrollo_de_software | descripcion:dominio y hosting,0.957,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Inversión productiva,si,historia_controlada_y_confirmacion_usuario,2,1,21,22.52,si,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,105b81c1917946c2e687786de3aebc1049b9b0cef868998bf5878a917cf5e342
TX_0001_0040,PERF_0001,perfil_estructurado_v2.0,2026-05-10,BUS INTERMUNICIPAL TURISMO,bus intermunicipal turismo,96000,COP,salida,gasto,Ocio,viajes,hobby,protegida,,turismo_y_viajes,,,no,clasificada,dentro_del_mvp,no,,hobby:turismo_y_viajes | descripcion:bus intermunicipal turismo,0.913,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Ocio,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,81c43b48c836e1d67a1b88f192f0ce1d0e4efc211ae4a0295afacfbd9d43cfc3
TX_0001_0041,PERF_0001,perfil_estructurado_v2.0,2026-05-11,UNIFORME TRABAJO,uniforme trabajo,42000,COP,salida,gasto,Vestimenta,uniformes,laboral,productiva,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:uniforme trabajo,0.927,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Vestimenta,si,historia_controlada_y_confirmacion_usuario,1,1,32,,si,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,aab75a8b1a4a36a297b47c57325b6723821b275021c8e223c9635cbc034765f3
TX_0001_0042,PERF_0001,perfil_estructurado_v2.0,2026-05-11,DOMINIO Y HOSTING,dominio y hosting,132000,COP,salida,gasto,Inversión productiva,creación o ampliación de proyectos,laboral,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad:ingenieria_y_desarrollo_de_software | descripcion:dominio y hosting,0.875,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Inversión productiva,si,historia_controlada_y_confirmacion_usuario,3,1,1,24.24,si,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,1f6aaec65b3aaaac76b52fdd68a443793e476a13e40b8893a2930f607392ffa5
