perfil_id,direccion,semanas_observadas,transacciones_observadas,promedio_semanal,pendiente_semanal,cambio_relativo_pct,estado_tendencia,nivel_incertidumbre
PERF_0059,entrada,10,5,279000.0,9151.52,29.52,aumento_observado,media
PERF_0060,salida,14,72,1308285.71,27243.96,27.07,aumento_observado,media
PERF_0060,entrada,10,6,211100.0,-3387.88,-14.44,estabilidad_observada,media
PERF_0061,salida,14,80,2485285.71,-26.37,-0.01,estabilidad_observada,media
PERF_0061,entrada,10,4,1866800.0,,,evidencia_insuficiente,alta
PERF_0062,salida,13,84,1664923.08,46340.66,33.4,aumento_observado,media
PERF_0062,entrada,10,5,287800.0,31890.91,99.73,aumento_observado,media
PERF_0063,salida,12,67,3141333.33,115839.16,40.56,aumento_observado,media
PERF_0063,entrada,14,23,820571.43,-22953.85,-36.36,disminucion_observada,media
PERF_0064,salida,14,89,759000.0,-31195.6,-53.43,disminucion_observada,media
PERF_0064,entrada,11,11,1529000.0,228600.0,149.51,aumento_observado,media
PERF_0065,salida,14,58,1086000.0,-46725.27,-55.93,disminucion_observada,media
PERF_0065,entrada,10,3,150000.0,,,evidencia_insuficiente,alta
PERF_0066,salida,14,61,1361142.86,20641.76,19.71,estabilidad_observada,media
PERF_0067,salida,14,69,2174857.14,85384.62,51.04,aumento_observado,media
PERF_0067,entrada,10,3,246000.0,,,evidencia_insuficiente,alta
PERF_0068,salida,14,80,1446142.86,7898.9,7.1,estabilidad_observada,media
PERF_0068,entrada,13,15,1373076.92,120829.67,105.6,aumento_observado,media
PERF_0069,salida,14,91,2011285.71,-22778.02,-14.72,estabilidad_observada,media
PERF_0069,entrada,12,8,1000833.33,-45027.97,-49.49,disminucion_observada,media
PERF_0070,salida,13,63,2890000.0,32318.68,13.42,estabilidad_observada,media
PERF_0070,entrada,12,34,985250.0,-56716.78,-63.32,disminucion_observada,media
PERF_0071,salida,14,81,1522714.29,-80997.8,-69.15,disminucion_observada,media
PERF_0071,entrada,1,1,532000.0,,,evidencia_insuficiente,alta
PERF_0072,salida,13,62,1279384.62,-15604.4,-14.64,estabilidad_observada,media
PERF_0072,entrada,10,3,82700.0,,,evidencia_insuficiente,alta
PERF_0073,salida,14,71,1234785.71,-20789.01,-21.89,estabilidad_observada,media
PERF_0073,entrada,12,26,1064500.0,-25034.97,-25.87,disminucion_observada,media
PERF_0074,salida,14,82,1403500.0,36226.37,33.55,aumento_observado,media
PERF_0074,entrada,10,5,341000.0,8303.03,21.91,estabilidad_observada,media
PERF_0075,salida,14,68,541071.43,-6248.35,-15.01,estabilidad_observada,media
PERF_0075,entrada,11,23,607363.64,-67290.91,-110.79,disminucion_observada,media
PERF_0076,salida,14,79,2190214.29,-53817.58,-31.94,disminucion_observada,media
PERF_0076,entrada,8,4,662500.0,,,evidencia_insuficiente,alta
PERF_0077,salida,14,63,3127714.29,-91050.55,-37.84,disminucion_observada,media
PERF_0077,entrada,13,28,1188461.54,49554.95,50.04,aumento_observado,media
PERF_0078,salida,14,88,850071.43,-24885.71,-38.06,disminucion_observada,media
PERF_0078,entrada,14,6,1509785.71,-156876.92,-135.08,disminucion_observada,media
PERF_0079,salida,14,74,1279500.0,-22024.18,-22.38,estabilidad_observada,media
PERF_0079,entrada,14,25,1359071.43,-52978.02,-50.68,disminucion_observada,media
PERF_0080,entrada,14,42,1202714.29,40624.18,43.91,aumento_observado,media
PERF_0080,salida,14,55,683428.57,-43142.86,-82.07,disminucion_observada,media
PERF_0081,salida,14,91,2045642.86,58815.38,37.38,aumento_observado,media
PERF_0081,entrada,12,4,455833.33,,,evidencia_insuficiente,alta
PERF_0082,salida,14,83,1551428.57,2589.01,2.17,estabilidad_observada,media
PERF_0082,entrada,10,3,426000.0,,,evidencia_insuficiente,alta
PERF_0083,salida,14,71,1467285.71,-5679.12,-5.03,estabilidad_observada,media
PERF_0083,entrada,14,24,692428.57,-3125.27,-5.87,estabilidad_observada,media
PERF_0084,salida,14,72,3472285.71,-45446.15,-17.01,estabilidad_observada,media
PERF_0084,entrada,10,4,241900.0,,,evidencia_insuficiente,alta
PERF_0085,salida,14,67,446142.86,-17353.85,-50.57,disminucion_observada,media
PERF_0085,entrada,10,4,171000.0,,,evidencia_insuficiente,alta
PERF_0086,salida,13,86,1494461.54,-32840.66,-26.37,disminucion_observada,media
PERF_0086,entrada,10,3,636000.0,,,evidencia_insuficiente,alta
PERF_0087,salida,13,72,1211692.31,31510.99,31.21,aumento_observado,media
PERF_0087,entrada,13,16,751615.38,-3978.02,-6.35,estabilidad_observada,media
PERF_0088,salida,14,87,2035428.57,82892.31,52.94,aumento_observado,media
PERF_0088,entrada,13,6,1463538.46,73604.4,60.35,aumento_observado,media
PERF_0089,salida,13,82,1095846.15,38010.99,41.62,aumento_observado,media
PERF_0089,entrada,10,3,150000.0,,,evidencia_insuficiente,alta
PERF_0090,salida,13,70,2011846.15,84461.54,50.38,aumento_observado,media
PERF_0090,entrada,11,12,706181.82,-11109.09,-15.73,estabilidad_observada,media
PERF_0091,salida,13,74,4290923.08,61208.79,17.12,estabilidad_observada,media
PERF_0091,entrada,11,19,1759818.18,-65809.09,-37.4,disminucion_observada,media
PERF_0092,salida,14,88,646500.0,-29140.66,-58.6,disminucion_observada,media
PERF_0092,entrada,14,12,1096500.0,25070.33,29.72,aumento_observado,media
PERF_0093,salida,14,57,726000.0,-25046.15,-44.85,disminucion_observada,media
PERF_0093,entrada,13,5,126153.85,-7472.53,-71.08,disminucion_observada,media
PERF_0094,salida,13,58,1132384.62,29401.1,31.16,aumento_observado,media
PERF_0094,entrada,12,5,151666.67,-13916.08,-100.93,disminucion_observada,media
PERF_0095,salida,14,72,655928.57,27870.33,55.24,aumento_observado,media
PERF_0095,entrada,6,3,78333.33,,,evidencia_insuficiente,alta
PERF_0096,salida,13,85,752923.08,11296.7,18.0,estabilidad_observada,media
PERF_0096,entrada,14,12,613357.14,48973.63,103.8,aumento_observado,media
PERF_0097,salida,14,69,2891642.86,-61892.31,-27.83,disminucion_observada,media
PERF_0097,entrada,13,16,1153384.62,64153.85,66.75,aumento_observado,media
PERF_0098,salida,14,85,2230285.71,-4101.1,-2.39,estabilidad_observada,media
PERF_0098,entrada,14,10,719785.71,-31017.58,-56.02,disminucion_observada,media
PERF_0099,salida,14,86,620571.43,-11696.7,-24.5,estabilidad_observada,media
PERF_0099,entrada,12,10,1184916.67,-46192.31,-42.88,disminucion_observada,media
PERF_0100,salida,13,78,542307.69,-3637.36,-8.05,estabilidad_observada,media
PERF_0100,entrada,10,6,210800.0,13769.7,58.79,aumento_observado,media
PERF_0101,salida,13,66,1856153.85,-69120.88,-44.69,disminucion_observada,media
PERF_0101,entrada,1,1,240000.0,,,evidencia_insuficiente,alta
PERF_0102,salida,13,82,2162769.23,132785.71,73.68,aumento_observado,media
PERF_0102,entrada,14,17,1333785.71,-33558.24,-32.71,disminucion_observada,media
PERF_0103,salida,14,73,1606642.86,23804.4,19.26,estabilidad_observada,media
PERF_0103,entrada,13,25,1497461.54,93994.51,75.32,aumento_observado,media
PERF_0104,salida,13,58,1688076.92,28241.76,20.08,estabilidad_observada,media
PERF_0104,entrada,13,32,814384.62,-6065.93,-8.94,estabilidad_observada,media
PERF_0105,salida,14,74,1278285.71,-27613.19,-28.08,disminucion_observada,media
PERF_0105,entrada,13,16,312692.31,-29890.11,-114.71,disminucion_observada,media
PERF_0106,salida,13,56,1441615.38,-30401.1,-25.31,disminucion_observada,media
PERF_0106,entrada,13,34,2376307.69,129142.86,65.22,aumento_observado,media
PERF_0107,salida,14,68,969428.57,-33740.66,-45.25,disminucion_observada,media
PERF_0107,entrada,13,25,1123538.46,42076.92,44.94,aumento_observado,media
PERF_0108,salida,14,90,1137857.14,-61665.93,-70.45,disminucion_observada,media
PERF_0108,entrada,10,3,1305000.0,,,evidencia_insuficiente,alta
PERF_0109,salida,13,87,1101538.46,76670.33,83.52,aumento_observado,media
PERF_0109,entrada,10,8,873500.0,-88745.45,-91.44,disminucion_observada,media
PERF_0110,salida,14,65,1189928.57,639.56,0.7,estabilidad_observada,media
PERF_0110,entrada,1,1,253000.0,,,evidencia_insuficiente,alta
PERF_0111,salida,14,85,2437142.86,-48487.91,-25.86,disminucion_observada,media
PERF_0111,entrada,13,15,1075615.38,94967.03,105.95,aumento_observado,media
PERF_0112,salida,14,78,3526714.29,-71076.92,-26.2,disminucion_observada,media
PERF_0112,entrada,14,16,1086071.43,51061.54,61.12,aumento_observado,media
PERF_0113,salida,13,54,1092692.31,-9631.87,-10.58,estabilidad_observada,media
PERF_0113,entrada,10,5,191000.0,3696.97,17.42,estabilidad_observada,media
PERF_0114,salida,14,75,717857.14,-23635.16,-42.8,disminucion_observada,media
PERF_0114,entrada,11,5,156363.64,-272.73,-1.74,estabilidad_observada,media
PERF_0115,salida,14,75,1114928.57,-12160.44,-14.18,estabilidad_observada,media
PERF_0115,entrada,10,4,153000.0,,,evidencia_insuficiente,alta
PERF_0116,salida,14,63,1423857.14,43296.7,39.53,aumento_observado,media
PERF_0116,entrada,13,5,224461.54,16901.1,90.36,aumento_observado,media
PERF_0117,salida,14,60,1901071.43,25725.27,17.59,estabilidad_observada,media
PERF_0117,entrada,1,1,1024000.0,,,evidencia_insuficiente,alta
PERF_0118,salida,13,69,2690153.85,32065.93,14.3,estabilidad_observada,media
PERF_0118,entrada,12,21,1337166.67,66930.07,55.06,aumento_observado,media
PERF_0119,salida,14,68,2153142.86,-20131.87,-12.15,estabilidad_observada,media
PERF_0119,entrada,7,4,241857.14,,,evidencia_insuficiente,alta
PERF_0120,entrada,12,20,1707666.67,57853.15,37.27,aumento_observado,media
PERF_0120,salida,14,78,866357.14,-27870.33,-41.82,disminucion_observada,media
PERF_0121,salida,14,79,1371000.0,-53059.34,-50.31,disminucion_observada,media
PERF_0121,entrada,13,11,1631769.23,148148.35,108.95,aumento_observado,media
PERF_0122,salida,14,59,1477071.43,-99439.56,-87.52,disminucion_observada,media
PERF_0122,entrada,10,3,150000.0,,,evidencia_insuficiente,alta
PERF_0123,salida,13,54,1405230.77,94626.37,80.81,aumento_observado,media
PERF_0123,entrada,14,36,683928.57,-40630.77,-77.23,disminucion_observada,media
PERF_0124,salida,13,78,1763692.31,39324.18,26.76,aumento_observado,media
PERF_0124,entrada,13,17,1601692.31,43873.63,32.87,aumento_observado,media
PERF_0125,salida,14,57,2097142.86,-33749.45,-20.92,estabilidad_observada,media
PERF_0125,entrada,13,33,990692.31,-11038.46,-13.37,estabilidad_observada,media
PERF_0126,entrada,14,35,924928.57,-40881.32,-57.46,disminucion_observada,media
PERF_0126,salida,13,59,2792307.69,37313.19,16.04,estabilidad_observada,media
PERF_0127,salida,14,70,970714.29,-44092.31,-59.05,disminucion_observada,media
PERF_0127,entrada,14,25,1606285.71,37301.1,30.19,aumento_observado,media
PERF_0128,salida,14,81,1608214.29,-45281.32,-36.6,disminucion_observada,media
PERF_0128,entrada,10,3,168000.0,,,evidencia_insuficiente,alta
PERF_0129,salida,14,90,1033285.71,-7652.75,-9.63,estabilidad_observada,media
PERF_0129,entrada,10,10,1137600.0,-16424.24,-12.99,estabilidad_observada,media
PERF_0130,salida,14,73,1814571.43,72571.43,51.99,aumento_observado,media
PERF_0130,entrada,12,4,213666.67,,,evidencia_insuficiente,alta
PERF_0131,salida,14,79,2442214.29,38279.12,20.38,estabilidad_observada,media
PERF_0131,entrada,10,5,673500.0,24636.36,32.92,aumento_observado,media
PERF_0132,salida,14,73,1825142.86,-11446.15,-8.15,estabilidad_observada,media
PERF_0132,entrada,11,5,202363.64,44454.55,219.68,aumento_observado,media
PERF_0133,salida,14,54,2697142.86,-66764.84,-32.18,disminucion_observada,media
PERF_0133,entrada,14,31,662071.43,-7553.85,-14.83,estabilidad_observada,media
PERF_0134,salida,14,83,586285.71,-20131.87,-44.64,disminucion_observada,media
PERF_0134,entrada,13,15,1089461.54,51247.25,56.45,aumento_observado,media
PERF_0135,salida,14,54,605357.14,-29980.22,-64.38,disminucion_observada,media
PERF_0135,entrada,1,1,230000.0,,,evidencia_insuficiente,alta
PERF_0136,entrada,13,16,1295076.92,62730.77,58.13,aumento_observado,media
PERF_0136,salida,13,83,698307.69,-32489.01,-55.83,disminucion_observada,media
PERF_0137,salida,14,67,1053428.57,23147.25,28.57,aumento_observado,media
PERF_0137,entrada,10,4,231000.0,,,evidencia_insuficiente,alta
PERF_0138,salida,14,78,948214.29,-10371.43,-14.22,estabilidad_observada,media
PERF_0138,entrada,10,2,58600.0,,,evidencia_insuficiente,alta
PERF_0139,salida,14,89,644142.86,-4619.78,-9.32,estabilidad_observada,media
PERF_0139,entrada,13,6,152692.31,-6824.18,-53.63,disminucion_observada,media
PERF_0140,salida,14,70,1160428.57,-33200.0,-37.19,disminucion_observada,media
PERF_0140,entrada,13,8,225000.0,-3670.33,-19.58,estabilidad_observada,media
PERF_0141,salida,14,71,1462500.0,-56837.36,-50.52,disminucion_observada,media
PERF_0141,entrada,14,22,2256928.57,114714.29,66.08,aumento_observado,media
PERF_0142,salida,13,85,1536923.08,-10796.7,-8.43,estabilidad_observada,media
PERF_0143,salida,14,76,1087285.71,-68039.56,-81.35,disminucion_observada,media
PERF_0143,entrada,12,19,1455666.67,14188.81,10.72,estabilidad_observada,media
PERF_0144,salida,13,61,1602846.15,87335.16,65.39,aumento_observado,media
PERF_0144,entrada,13,4,132307.69,,,evidencia_insuficiente,alta
PERF_0145,salida,13,72,520846.15,22917.58,52.8,aumento_observado,media
PERF_0145,entrada,10,5,178000.0,11272.73,57.0,aumento_observado,media
PERF_0146,salida,13,80,2821153.85,59445.05,25.29,aumento_observado,media
PERF_0146,entrada,10,4,360800.0,,,evidencia_insuficiente,alta
PERF_0147,salida,14,78,2860285.71,-56747.25,-25.79,disminucion_observada,media
PERF_0147,entrada,12,6,363833.33,60146.85,181.85,aumento_observado,media
PERF_0148,salida,14,87,526071.43,-16191.21,-40.01,disminucion_observada,media
PERF_0148,entrada,10,3,1143000.0,,,evidencia_insuficiente,alta
PERF_0149,salida,14,90,771857.14,-30017.58,-50.56,disminucion_observada,media
PERF_0149,entrada,10,3,402000.0,,,evidencia_insuficiente,alta
PERF_0150,salida,14,79,819071.43,-6947.25,-11.03,estabilidad_observada,media
PERF_0150,entrada,13,21,733615.38,-2439.56,-3.99,estabilidad_observada,media
PERF_0151,salida,13,72,3542538.46,300824.18,101.9,aumento_observado,media
PERF_0151,entrada,13,15,1654769.23,-127472.53,-92.44,disminucion_observada,media
PERF_0152,salida,14,85,1254571.43,2795.6,2.9,estabilidad_observada,media
PERF_0152,entrada,13,10,755076.92,9192.31,14.61,estabilidad_observada,media
PERF_0153,salida,14,54,1760714.29,-70439.56,-52.01,disminucion_observada,media
PERF_0153,entrada,11,6,255454.55,39545.45,154.8,aumento_observado,media
PERF_0154,salida,14,60,3753285.71,-47182.42,-16.34,estabilidad_observada,media
PERF_0154,entrada,13,25,1075307.69,-12021.98,-13.42,estabilidad_observada,media
PERF_0155,salida,13,55,780461.54,-17153.85,-26.37,disminucion_observada,media
PERF_0155,entrada,10,4,171000.0,,,evidencia_insuficiente,alta
PERF_0156,salida,14,70,1009071.43,-21021.98,-27.08,disminucion_observada,media
PERF_0156,entrada,14,26,1248785.71,-62586.81,-65.15,disminucion_observada,media
PERF_0157,salida,13,55,1118615.38,-6835.16,-7.33,estabilidad_observada,media
PERF_0157,entrada,13,38,1373615.38,23785.71,20.78,estabilidad_observada,media
PERF_0158,salida,13,90,2188384.62,169653.85,93.03,aumento_observado,media
PERF_0158,entrada,9,2,92222.22,,,evidencia_insuficiente,alta
PERF_0159,salida,13,85,1126846.15,32362.64,34.46,aumento_observado,media
PERF_0159,entrada,10,4,436300.0,,,evidencia_insuficiente,alta
PERF_0160,salida,13,64,1464538.46,34219.78,28.04,aumento_observado,media
PERF_0160,entrada,12,32,762916.67,-22248.25,-32.08,disminucion_observada,media
PERF_0161,salida,14,83,2393428.57,-52602.2,-28.57,disminucion_observada,media
PERF_0161,entrada,11,7,396727.27,50290.91,126.76,aumento_observado,media
PERF_0162,salida,13,73,826153.85,-2829.67,-4.11,estabilidad_observada,media
PERF_0163,salida,14,68,742714.29,-24953.85,-43.68,disminucion_observada,media
PERF_0163,entrada,13,23,874461.54,-42576.92,-58.43,disminucion_observada,media
PERF_0164,entrada,12,10,1864583.33,-11877.62,-7.01,estabilidad_observada,media
PERF_0164,salida,14,88,1931428.57,-36175.82,-24.35,estabilidad_observada,media
PERF_0165,salida,14,81,1304857.14,45837.36,45.67,aumento_observado,media
PERF_0165,entrada,13,18,852615.38,-99362.64,-139.85,disminucion_observada,media
PERF_0166,salida,14,85,1273785.71,5065.93,5.17,estabilidad_observada,media
PERF_0166,entrada,11,9,958363.64,-62218.18,-64.92,disminucion_observada,media
PERF_0167,salida,14,77,1084357.14,-12257.14,-14.69,estabilidad_observada,media
PERF_0167,entrada,13,21,568230.77,-29851.65,-63.04,disminucion_observada,media
PERF_0168,salida,14,91,1672714.29,-22817.58,-17.73,estabilidad_observada,media
PERF_0168,entrada,11,6,665181.82,12945.45,19.46,estabilidad_observada,media
PERF_0169,salida,14,89,548785.71,-9861.54,-23.36,estabilidad_observada,media
PERF_0169,entrada,10,3,522000.0,,,evidencia_insuficiente,alta
PERF_0170,salida,14,56,1258714.29,-44171.43,-45.62,disminucion_observada,media
PERF_0170,entrada,14,39,1464785.71,-4516.48,-4.01,estabilidad_observada,media
PERF_0171,salida,14,80,1652000.0,-102782.42,-80.88,disminucion_observada,media
PERF_0171,entrada,14,13,1980714.29,186580.22,122.46,aumento_observado,media
PERF_0172,salida,14,78,1937000.0,53239.56,35.73,aumento_observado,media
PERF_0172,entrada,6,2,154833.33,,,evidencia_insuficiente,alta
PERF_0173,salida,14,67,986428.57,-6962.64,-9.18,estabilidad_observada,media
PERF_0173,entrada,10,4,170000.0,,,evidencia_insuficiente,alta
PERF_0174,salida,14,67,3188642.86,-86903.3,-35.43,disminucion_observada,media
PERF_0174,entrada,13,22,1165307.69,-120.88,-0.12,estabilidad_observada,media
PERF_0175,salida,14,73,1672714.29,-33103.3,-25.73,disminucion_observada,media
PERF_0175,entrada,14,7,272642.86,4107.69,19.59,estabilidad_observada,media
PERF_0176,salida,13,71,1115538.46,-3884.62,-4.18,estabilidad_observada,media
PERF_0176,entrada,10,5,483800.0,32400.0,60.27,aumento_observado,media
PERF_0177,salida,13,69,663230.77,-15505.49,-28.05,disminucion_observada,media
PERF_0177,entrada,10,4,190300.0,,,evidencia_insuficiente,alta
