perfil_id,direccion,semanas_observadas,transacciones_observadas,promedio_semanal,pendiente_semanal,cambio_relativo_pct,estado_tendencia,nivel_incertidumbre
PERF_0075,entrada,11,23,607363.64,-67290.91,-110.79,disminucion_observada,media
PERF_0076,salida,14,79,2190214.29,-53817.58,-31.94,disminucion_observada,media
PERF_0076,entrada,13,12,1397615.38,21021.98,18.05,estabilidad_observada,media
PERF_0077,salida,14,63,3127714.29,-91050.55,-37.84,disminucion_observada,media
PERF_0077,entrada,13,28,1161615.38,26725.27,27.61,aumento_observado,media
PERF_0078,salida,14,88,850071.43,-24885.71,-38.06,disminucion_observada,media
PERF_0078,entrada,11,6,1924000.0,-10900.0,-5.67,estabilidad_observada,media
PERF_0079,salida,14,74,1279500.0,-22024.18,-22.38,estabilidad_observada,media
PERF_0079,entrada,14,25,1359071.43,-52978.02,-50.68,disminucion_observada,media
PERF_0080,entrada,14,42,1202714.29,40624.18,43.91,aumento_observado,media
PERF_0080,salida,14,55,683428.57,-43142.86,-82.07,disminucion_observada,media
PERF_0081,salida,14,91,2045642.86,58815.38,37.38,aumento_observado,media
PERF_0081,entrada,13,9,1261538.46,-129697.8,-123.37,disminucion_observada,media
PERF_0082,salida,14,83,1551428.57,2589.01,2.17,estabilidad_observada,media
PERF_0082,entrada,11,14,1781181.82,-118009.09,-66.25,disminucion_observada,media
PERF_0083,salida,14,71,1467285.71,-5679.12,-5.03,estabilidad_observada,media
PERF_0083,entrada,13,24,732000.0,-54890.11,-89.98,disminucion_observada,media
PERF_0084,salida,14,72,3472285.71,-45446.15,-17.01,estabilidad_observada,media
PERF_0084,entrada,13,28,999076.92,-46901.1,-56.33,disminucion_observada,media
PERF_0085,salida,14,67,446142.86,-17353.85,-50.57,disminucion_observada,media
PERF_0085,entrada,13,29,855923.08,28032.97,39.3,aumento_observado,media
PERF_0086,salida,13,86,1494461.54,-32840.66,-26.37,disminucion_observada,media
PERF_0086,entrada,13,10,1599461.54,104379.12,78.31,aumento_observado,media
PERF_0087,salida,13,72,1211692.31,31510.99,31.21,aumento_observado,media
PERF_0087,entrada,13,24,1395461.54,17945.05,15.43,estabilidad_observada,media
PERF_0088,salida,14,87,2035428.57,82892.31,52.94,aumento_observado,media
PERF_0088,entrada,10,6,1778900.0,-25775.76,-13.04,estabilidad_observada,media
PERF_0089,salida,13,82,1095846.15,38010.99,41.62,aumento_observado,media
PERF_0089,entrada,11,16,1140909.09,-65500.0,-57.41,disminucion_observada,media
PERF_0090,salida,13,70,2011846.15,84461.54,50.38,aumento_observado,media
PERF_0090,entrada,11,20,1013818.18,-3536.36,-3.49,estabilidad_observada,media
PERF_0091,salida,13,74,4290923.08,61208.79,17.12,estabilidad_observada,media
PERF_0091,entrada,11,19,1759818.18,-65809.09,-37.4,disminucion_observada,media
PERF_0092,salida,14,88,646500.0,-29140.66,-58.6,disminucion_observada,media
PERF_0092,entrada,14,12,1096500.0,25070.33,29.72,aumento_observado,media
PERF_0093,salida,14,57,726000.0,-25046.15,-44.85,disminucion_observada,media
PERF_0093,entrada,14,35,782857.14,-5956.04,-9.89,estabilidad_observada,media
PERF_0094,salida,13,58,1132384.62,29401.1,31.16,aumento_observado,media
PERF_0094,entrada,14,35,1225785.71,-43140.66,-45.75,disminucion_observada,media
PERF_0095,salida,14,72,655928.57,27870.33,55.24,aumento_observado,media
PERF_0095,entrada,13,28,447384.62,-41258.24,-110.67,disminucion_observada,media
PERF_0096,salida,13,85,752923.08,11296.7,18.0,estabilidad_observada,media
PERF_0096,entrada,14,12,746500.0,-27923.08,-48.63,disminucion_observada,media
PERF_0097,salida,14,69,2891642.86,-61892.31,-27.83,disminucion_observada,media
PERF_0097,entrada,13,21,1517076.92,97390.11,77.04,aumento_observado,media
PERF_0098,salida,14,85,2230285.71,-4101.1,-2.39,estabilidad_observada,media
PERF_0098,entrada,13,10,830538.46,42005.49,60.69,aumento_observado,media
PERF_0099,salida,14,86,620571.43,-11696.7,-24.5,estabilidad_observada,media
PERF_0099,entrada,12,10,1184916.67,-46192.31,-42.88,disminucion_observada,media
PERF_0100,salida,13,78,542307.69,-3637.36,-8.05,estabilidad_observada,media
PERF_0100,entrada,14,21,599642.86,-13632.97,-29.56,disminucion_observada,media
PERF_0101,entrada,14,32,2001357.14,28516.48,18.52,estabilidad_observada,media
PERF_0101,salida,13,66,1856153.85,-69120.88,-44.69,disminucion_observada,media
PERF_0102,salida,13,82,2162769.23,132785.71,73.68,aumento_observado,media
PERF_0102,entrada,14,17,1333785.71,-33558.24,-32.71,disminucion_observada,media
PERF_0103,salida,14,73,1606642.86,23804.4,19.26,estabilidad_observada,media
PERF_0103,entrada,13,25,1578384.62,27835.16,21.16,estabilidad_observada,media
PERF_0104,salida,13,58,1688076.92,28241.76,20.08,estabilidad_observada,media
PERF_0104,entrada,13,32,745230.77,-14890.11,-23.98,estabilidad_observada,media
PERF_0105,salida,14,74,1278285.71,-27613.19,-28.08,disminucion_observada,media
PERF_0105,entrada,13,22,429923.08,-33576.92,-93.72,disminucion_observada,media
PERF_0106,salida,13,56,1441615.38,-30401.1,-25.31,disminucion_observada,media
PERF_0106,entrada,12,34,2610916.67,-7458.04,-3.14,estabilidad_observada,media
PERF_0107,salida,14,68,969428.57,-33740.66,-45.25,disminucion_observada,media
PERF_0107,entrada,13,25,1123538.46,42076.92,44.94,aumento_observado,media
PERF_0108,salida,14,90,1137857.14,-61665.93,-70.45,disminucion_observada,media
PERF_0108,entrada,10,5,1937800.0,258630.3,120.12,aumento_observado,media
PERF_0109,salida,13,87,1101538.46,76670.33,83.52,aumento_observado,media
PERF_0109,entrada,10,8,873500.0,-88745.45,-91.44,disminucion_observada,media
PERF_0110,entrada,14,26,1047214.29,-57571.43,-71.47,disminucion_observada,media
PERF_0110,salida,14,65,1189928.57,639.56,0.7,estabilidad_observada,media
PERF_0111,salida,14,85,2437142.86,-48487.91,-25.86,disminucion_observada,media
PERF_0111,entrada,12,15,1358333.33,-60251.75,-48.79,disminucion_observada,media
PERF_0112,salida,14,78,3526714.29,-71076.92,-26.2,disminucion_observada,media
PERF_0112,entrada,14,16,1034428.57,26707.69,33.56,aumento_observado,media
PERF_0113,salida,13,54,1092692.31,-9631.87,-10.58,estabilidad_observada,media
PERF_0113,entrada,12,39,1801000.0,35720.28,21.82,estabilidad_observada,media
PERF_0114,entrada,14,19,750642.86,-7663.74,-13.27,estabilidad_observada,media
PERF_0114,salida,14,75,717857.14,-23635.16,-42.8,disminucion_observada,media
PERF_0115,salida,14,75,1114928.57,-12160.44,-14.18,estabilidad_observada,media
PERF_0115,entrada,13,24,891461.54,34214.29,46.06,aumento_observado,media
PERF_0116,salida,14,63,1423857.14,43296.7,39.53,aumento_observado,media
PERF_0116,entrada,14,33,936214.29,-28982.42,-40.24,disminucion_observada,media
PERF_0117,salida,14,60,1901071.43,25725.27,17.59,estabilidad_observada,media
PERF_0117,entrada,14,40,1645642.86,-36683.52,-28.98,disminucion_observada,media
PERF_0118,salida,13,69,2690153.85,32065.93,14.3,estabilidad_observada,media
PERF_0118,entrada,12,21,1337166.67,66930.07,55.06,aumento_observado,media
PERF_0119,salida,14,68,2153142.86,-20131.87,-12.15,estabilidad_observada,media
PERF_0119,entrada,14,31,633571.43,-41868.13,-85.91,disminucion_observada,media
PERF_0120,entrada,12,20,1707666.67,57853.15,37.27,aumento_observado,media
PERF_0120,salida,14,78,866357.14,-27870.33,-41.82,disminucion_observada,media
PERF_0121,salida,14,79,1371000.0,-53059.34,-50.31,disminucion_observada,media
PERF_0121,entrada,12,11,1734333.33,30321.68,19.23,estabilidad_observada,media
PERF_0122,entrada,13,36,1832923.08,111280.22,72.85,aumento_observado,media
PERF_0122,salida,14,59,1477071.43,-99439.56,-87.52,disminucion_observada,media
PERF_0123,salida,13,54,1405230.77,94626.37,80.81,aumento_observado,media
PERF_0123,entrada,14,36,683928.57,-40630.77,-77.23,disminucion_observada,media
PERF_0124,salida,13,78,1763692.31,39324.18,26.76,aumento_observado,media
PERF_0124,entrada,13,17,1575615.38,-26653.85,-20.3,estabilidad_observada,media
PERF_0125,salida,14,57,2097142.86,-33749.45,-20.92,estabilidad_observada,media
PERF_0125,entrada,13,33,990692.31,-11038.46,-13.37,estabilidad_observada,media
PERF_0126,entrada,14,35,906285.71,-58030.77,-83.24,disminucion_observada,media
PERF_0126,salida,13,59,2792307.69,37313.19,16.04,estabilidad_observada,media
PERF_0127,salida,14,70,970714.29,-44092.31,-59.05,disminucion_observada,media
PERF_0127,entrada,13,25,1734307.69,-63362.64,-43.84,disminucion_observada,media
PERF_0128,salida,14,81,1608214.29,-45281.32,-36.6,disminucion_observada,media
PERF_0128,entrada,13,17,1895615.38,196582.42,124.44,aumento_observado,media
PERF_0129,salida,14,90,1033285.71,-7652.75,-9.63,estabilidad_observada,media
PERF_0129,entrada,10,10,1137600.0,-16424.24,-12.99,estabilidad_observada,media
PERF_0130,salida,14,73,1814571.43,72571.43,51.99,aumento_observado,media
PERF_0130,entrada,14,22,1173142.86,-83872.53,-92.94,disminucion_observada,media
PERF_0131,salida,14,79,2442214.29,38279.12,20.38,estabilidad_observada,media
PERF_0131,entrada,11,14,2712636.36,-43818.18,-16.15,estabilidad_observada,media
PERF_0132,salida,14,73,1825142.86,-11446.15,-8.15,estabilidad_observada,media
PERF_0132,entrada,13,18,978923.08,26538.46,32.53,aumento_observado,media
PERF_0133,salida,14,54,2697142.86,-66764.84,-32.18,disminucion_observada,media
PERF_0133,entrada,14,43,825714.29,-10597.8,-16.69,estabilidad_observada,media
PERF_0134,salida,14,83,586285.71,-20131.87,-44.64,disminucion_observada,media
PERF_0134,entrada,13,15,1089461.54,51247.25,56.45,aumento_observado,media
PERF_0135,salida,14,54,605357.14,-29980.22,-64.38,disminucion_observada,media
PERF_0135,entrada,14,38,619071.43,4964.84,10.43,estabilidad_observada,media
PERF_0136,entrada,13,16,1295076.92,62730.77,58.13,aumento_observado,media
PERF_0136,salida,13,83,698307.69,-32489.01,-55.83,disminucion_observada,media
PERF_0137,entrada,14,23,673428.57,-31740.66,-61.27,disminucion_observada,media
PERF_0137,salida,14,67,1053428.57,23147.25,28.57,aumento_observado,media
PERF_0138,salida,14,78,948214.29,-10371.43,-14.22,estabilidad_observada,media
PERF_0138,entrada,13,16,931846.15,83093.41,107.0,aumento_observado,media
PERF_0139,salida,14,89,644142.86,-4619.78,-9.32,estabilidad_observada,media
PERF_0139,entrada,13,10,320384.62,3005.49,11.26,estabilidad_observada,media
PERF_0140,entrada,13,23,402615.38,-5543.96,-16.52,estabilidad_observada,media
PERF_0140,salida,14,70,1160428.57,-33200.0,-37.19,disminucion_observada,media
PERF_0141,salida,14,71,1462500.0,-56837.36,-50.52,disminucion_observada,media
PERF_0141,entrada,14,22,2462857.14,-2092.31,-1.1,estabilidad_observada,media
PERF_0142,salida,13,85,1536923.08,-10796.7,-8.43,estabilidad_observada,media
PERF_0142,entrada,14,13,1634714.29,-51345.05,-40.83,disminucion_observada,media
PERF_0143,salida,14,76,1087285.71,-68039.56,-81.35,disminucion_observada,media
PERF_0143,entrada,12,19,1455666.67,14188.81,10.72,estabilidad_observada,media
PERF_0144,salida,13,61,1602846.15,87335.16,65.39,aumento_observado,media
PERF_0144,entrada,13,35,1005461.54,-22423.08,-26.76,disminucion_observada,media
PERF_0145,salida,13,72,520846.15,22917.58,52.8,aumento_observado,media
PERF_0145,entrada,14,19,427857.14,-23428.57,-71.19,disminucion_observada,media
PERF_0146,salida,13,80,2821153.85,59445.05,25.29,aumento_observado,media
PERF_0146,entrada,13,18,1277846.15,8807.69,8.27,estabilidad_observada,media
PERF_0147,salida,14,78,2860285.71,-56747.25,-25.79,disminucion_observada,media
PERF_0147,entrada,13,21,993153.85,28230.77,34.11,aumento_observado,media
PERF_0148,salida,14,87,526071.43,-16191.21,-40.01,disminucion_observada,media
PERF_0148,entrada,11,5,1106000.0,96963.64,87.67,aumento_observado,media
PERF_0149,salida,14,90,771857.14,-30017.58,-50.56,disminucion_observada,media
PERF_0149,entrada,12,9,988083.33,27863.64,31.02,aumento_observado,media
PERF_0150,salida,14,79,819071.43,-6947.25,-11.03,estabilidad_observada,media
PERF_0150,entrada,13,21,754615.38,-43961.54,-69.91,disminucion_observada,media
PERF_0151,salida,13,72,3542538.46,300824.18,101.9,aumento_observado,media
PERF_0151,entrada,13,22,2232769.23,-176467.03,-94.84,disminucion_observada,media
PERF_0152,salida,14,85,1254571.43,2795.6,2.9,estabilidad_observada,media
PERF_0152,entrada,13,15,1148461.54,33785.71,35.3,aumento_observado,media
PERF_0153,entrada,14,40,806928.57,-16173.63,-26.06,disminucion_observada,media
PERF_0153,salida,14,54,1760714.29,-70439.56,-52.01,disminucion_observada,media
PERF_0154,salida,14,60,3753285.71,-47182.42,-16.34,estabilidad_observada,media
PERF_0154,entrada,13,36,1351153.85,5390.11,4.79,estabilidad_observada,media
PERF_0155,salida,13,55,780461.54,-17153.85,-26.37,disminucion_observada,media
PERF_0155,entrada,14,37,1158642.86,-32819.78,-36.82,disminucion_observada,media
PERF_0156,salida,14,70,1009071.43,-21021.98,-27.08,disminucion_observada,media
PERF_0156,entrada,14,26,1248785.71,-62586.81,-65.15,disminucion_observada,media
PERF_0157,salida,13,55,1118615.38,-6835.16,-7.33,estabilidad_observada,media
PERF_0157,entrada,13,38,1373615.38,23785.71,20.78,estabilidad_observada,media
PERF_0158,salida,13,90,2188384.62,169653.85,93.03,aumento_observado,media
PERF_0158,entrada,12,5,1517500.0,101825.17,73.81,aumento_observado,media
PERF_0159,salida,13,85,1126846.15,32362.64,34.46,aumento_observado,media
PERF_0159,entrada,12,10,1055583.33,-32241.26,-33.6,disminucion_observada,media
PERF_0160,salida,13,64,1464538.46,34219.78,28.04,aumento_observado,media
PERF_0160,entrada,12,32,762916.67,-22248.25,-32.08,disminucion_observada,media
PERF_0161,entrada,13,15,848769.23,-16560.44,-23.41,estabilidad_observada,media
PERF_0161,salida,14,83,2393428.57,-52602.2,-28.57,disminucion_observada,media
PERF_0162,salida,13,73,826153.85,-2829.67,-4.11,estabilidad_observada,media
PERF_0162,entrada,13,27,1419307.69,-10071.43,-8.52,estabilidad_observada,media
PERF_0163,salida,14,68,742714.29,-24953.85,-43.68,disminucion_observada,media
PERF_0163,entrada,13,23,874461.54,-42576.92,-58.43,disminucion_observada,media
PERF_0164,entrada,12,10,1864583.33,-11877.62,-7.01,estabilidad_observada,media
PERF_0164,salida,14,88,1931428.57,-36175.82,-24.35,estabilidad_observada,media
PERF_0165,salida,14,81,1304857.14,45837.36,45.67,aumento_observado,media
PERF_0165,entrada,13,18,852615.38,-99362.64,-139.85,disminucion_observada,media
PERF_0166,salida,14,85,1273785.71,5065.93,5.17,estabilidad_observada,media
PERF_0166,entrada,11,14,1430272.73,-50981.82,-35.64,disminucion_observada,media
PERF_0167,salida,14,77,1084357.14,-12257.14,-14.69,estabilidad_observada,media
PERF_0167,entrada,13,21,568230.77,-29851.65,-63.04,disminucion_observada,media
PERF_0168,salida,14,91,1672714.29,-22817.58,-17.73,estabilidad_observada,media
PERF_0168,entrada,13,8,630923.08,58582.42,111.42,aumento_observado,media
PERF_0169,salida,14,89,548785.71,-9861.54,-23.36,estabilidad_observada,media
PERF_0169,entrada,11,7,1119363.64,-79845.45,-71.33,disminucion_observada,media
PERF_0170,entrada,14,39,1450071.43,-31246.15,-28.01,disminucion_observada,media
PERF_0170,salida,14,56,1258714.29,-44171.43,-45.62,disminucion_observada,media
PERF_0171,salida,14,80,1652000.0,-102782.42,-80.88,disminucion_observada,media
