perfil_id,descripcion_visible,actividad_1_familia,alcance_perfil,particion_perfil,es_sintetico,ventana_id,periodo_desde,periodo_hasta,estado_modelo,estado_calculo_modelo,confianza_pct,particion_estado,ventana_recomendacion,periodo_desde_recomendacion,periodo_hasta_recomendacion,estado_trayectoria,estado_motor,recomendacion_id,decision,fuente_seleccion,revision_humana,guardas_aplicadas,transacciones_disponibles,regularidades_observadas,eventos_inusuales_observados,estado_coherente,ventana_coherente,periodo_coherente,particion_coherente,recorrido_completo
PERF_0014,Trabajo como ciclista. En mi tiempo libre disfruto musica.,deporte_competitivo_ciclismo,dentro_del_mvp,train,si,VEN_0014_3,2026-04-01,2026-06-30,situacion_critica,calculado,100.0,train,VEN_0014_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,95,2,3,True,True,True,True,True
PERF_0015,Trabajo como repartidor de domicilios. En mi tiempo libre disfruto fotografia y video y pintura.,domicilios_mensajeria_y_reparto,dentro_del_mvp,train,si,VEN_0015_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,98.95,train,VEN_0015_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,96,4,1,True,True,True,True,True
PERF_0016,Trabajo como vendedor de tienda.,ventas_al_por_menor,dentro_del_mvp,test,si,VEN_0016_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,92.89,test,VEN_0016_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,96,2,1,True,True,True,True,True
PERF_0017,Trabajo como editor de video. En mi tiempo libre disfruto turismo y viajes y cocina y reposteria. Quiero mejorar vivienda.,diseno_audiovisual_y_edicion_de_video,dentro_del_mvp,train,si,VEN_0017_3,2026-04-01,2026-06-30,variable_resiliente,calculado,85.21,train,VEN_0017_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,91,2,2,True,True,True,True,True
PERF_0018,Trabajo como docente de educación básica secundaria. En mi tiempo libre disfruto impresion 3d y fotografia y video. Quiero comprar bicicleta. Tengo como responsabilidad apoyo mensual madre o padre.,docencia_y_formacion,dentro_del_mvp,test,si,VEN_0018_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,97.11,test,VEN_0018_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_VIGILAR_RESERVA,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,93,3,12,True,True,True,True,True
PERF_0019,Trabajo como horticultor. En mi tiempo libre disfruto jardineria y agricultura urbana y videojuegos y streaming. Tengo como responsabilidad medicamentos de un familiar.,agricultura,dentro_del_mvp,test,si,VEN_0019_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,64.09,test,VEN_0019_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,requerida,cobertura_esencial_menor_a_un_mes | cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,100,3,6,True,True,True,True,True
PERF_0020,Trabajo como barbero. En mi tiempo libre disfruto ciclismo y fotografia y video. Quiero hacer certificacion profesional.,peluqueria_y_barberia,dentro_del_mvp,train,si,VEN_0020_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,99.21,train,VEN_0020_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,97,2,0,True,True,True,True,True
PERF_0021,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura. Quiero mejorar vivienda. Tengo como responsabilidad gastos de un hijo.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,train,si,VEN_0021_3,2026-04-01,2026-06-30,situacion_critica,calculado,99.92,train,VEN_0021_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,91,1,5,True,True,True,True,True
PERF_0022,Trabajo como nutricionista dietista. También genero ingresos con docente de educación básica secundaria. En mi tiempo libre disfruto cocina y reposteria. Quiero mejorar vivienda. Tengo como responsabilidad ninguna declarada.,nutricion_y_dietetica,dentro_del_mvp,train,si,VEN_0022_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,97.88,train,VEN_0022_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,95,1,2,True,True,True,True,True
PERF_0023,Trabajo como disc jockey. En mi tiempo libre disfruto manualidades y artesanias.,musica_y_entretenimiento_dj,dentro_del_mvp,train,si,VEN_0023_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,98.28,train,VEN_0023_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,94,1,0,True,True,True,True,True
PERF_0024,Trabajo como ciclista. En mi tiempo libre disfruto musica y cocina y reposteria.,deporte_competitivo_ciclismo,dentro_del_mvp,train,si,VEN_0024_3,2026-04-01,2026-06-30,variable_resiliente,calculado,84.04,train,VEN_0024_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,no_requerida,cobertura_esencial_menor_a_un_mes | hobbies_no_eliminados_automaticamente,94,1,3,True,True,True,True,True
PERF_0025,Trabajo como repartidor de domicilios. También genero ingresos con nutricionista dietista. En mi tiempo libre disfruto fotografia y video y pintura. Quiero comprar bicicleta.,domicilios_mensajeria_y_reparto,dentro_del_mvp,validation,si,VEN_0025_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,97.32,validation,VEN_0025_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,no_requerida,cobertura_esencial_menor_a_un_mes | hobbies_no_eliminados_automaticamente,93,3,4,True,True,True,True,True
PERF_0026,Trabajo como vendedor de tienda. También genero ingresos con docente de educación básica secundaria. En mi tiempo libre disfruto videojuegos y streaming. Quiero ampliar actividad economica. Tengo como responsabilidad apoyo mensual madre o padre.,ventas_al_por_menor,dentro_del_mvp,test,si,VEN_0026_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,75.47,test,VEN_0026_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,requerida,cobertura_esencial_menor_a_un_mes | cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,96,2,8,True,True,True,True,True
PERF_0027,Trabajo como editor de video. En mi tiempo libre disfruto turismo y viajes y ciclismo. Quiero hacer certificacion profesional. Tengo como responsabilidad aporte hogar compartido.,diseno_audiovisual_y_edicion_de_video,dentro_del_mvp,train,si,VEN_0027_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,98.08,train,VEN_0027_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,92,1,3,True,True,True,True,True
PERF_0028,Trabajo como docente de educación básica secundaria. También genero ingresos con barbero. En mi tiempo libre disfruto impresion 3d.,docencia_y_formacion,dentro_del_mvp,train,si,VEN_0028_3,2026-04-01,2026-06-30,situacion_critica,calculado,99.45,train,VEN_0028_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,97,2,5,True,True,True,True,True
PERF_0029,Trabajo como horticultor. En mi tiempo libre disfruto jardineria y agricultura urbana y ciclismo.,agricultura,dentro_del_mvp,train,si,VEN_0029_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,98.81,train,VEN_0029_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,91,2,3,True,True,True,True,True
PERF_0030,Trabajo como barbero. En mi tiempo libre disfruto ciclismo y pintura. Tengo como responsabilidad ninguna declarada.,peluqueria_y_barberia,dentro_del_mvp,train,si,VEN_0030_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,89.96,train,VEN_0030_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,99,2,4,True,True,True,True,True
PERF_0031,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura y impresion 3d. Quiero mejorar vivienda. Tengo como responsabilidad ninguna declarada.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,train,si,VEN_0031_3,2026-04-01,2026-06-30,variable_resiliente,calculado,86.51,train,VEN_0031_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,99,3,3,True,True,True,True,True
PERF_0032,Trabajo como nutricionista dietista. En mi tiempo libre disfruto cocina y reposteria. Quiero hacer viaje.,nutricion_y_dietetica,dentro_del_mvp,test,si,VEN_0032_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,96.49,test,VEN_0032_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,no_requerida,cobertura_esencial_menor_a_un_mes | hobbies_no_eliminados_automaticamente,90,1,7,True,True,True,True,True
PERF_0033,Trabajo como disc jockey. En mi tiempo libre disfruto manualidades y artesanias. Quiero crear fondo emergencia. Tengo como responsabilidad ninguna declarada.,musica_y_entretenimiento_dj,dentro_del_mvp,train,si,VEN_0033_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,74.91,train,VEN_0033_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_REVISAR_CAMBIO_RECIENTE,solicitar_contexto,modelo_restringido,requerida,cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,98,2,7,True,True,True,True,True
PERF_0034,Trabajo como ciclista. En mi tiempo libre disfruto musica y ciclismo. Quiero pagar deuda. Tengo como responsabilidad medicamentos de un familiar.,deporte_competitivo_ciclismo,dentro_del_mvp,train,si,VEN_0034_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,93.65,train,VEN_0034_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,90,1,3,True,True,True,True,True
PERF_0035,Trabajo como repartidor de domicilios. En mi tiempo libre disfruto fotografia y video y turismo y viajes. Quiero hacer certificacion profesional.,domicilios_mensajeria_y_reparto,dentro_del_mvp,train,si,VEN_0035_3,2026-04-01,2026-06-30,situacion_critica,calculado,99.93,train,VEN_0035_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,96,1,2,True,True,True,True,True
PERF_0036,Trabajo como vendedor de tienda. En mi tiempo libre disfruto videojuegos y streaming y fotografia y video. Quiero comprar equipo de trabajo.,ventas_al_por_menor,dentro_del_mvp,train,si,VEN_0036_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,97.58,train,VEN_0036_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,97,3,2,True,True,True,True,True
PERF_0037,Trabajo como editor de video. Quiero mejorar vivienda.,diseno_audiovisual_y_edicion_de_video,dentro_del_mvp,train,si,VEN_0037_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,95.14,train,VEN_0037_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,93,2,1,True,True,True,True,True
PERF_0038,Trabajo como docente de educación básica secundaria. En mi tiempo libre disfruto impresion 3d y manualidades y artesanias.,docencia_y_formacion,dentro_del_mvp,train,si,VEN_0038_3,2026-04-01,2026-06-30,variable_resiliente,calculado,64.95,train,VEN_0038_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,100,3,4,True,True,True,True,True
PERF_0039,Trabajo como horticultor. En mi tiempo libre disfruto jardineria y agricultura urbana. Quiero mejorar vivienda.,agricultura,dentro_del_mvp,test,si,VEN_0039_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,53.42,test,VEN_0039_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_VIGILAR_RESERVA,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,99,2,6,True,True,True,True,True
PERF_0040,Trabajo como barbero. En mi tiempo libre disfruto ciclismo. Tengo como responsabilidad aporte hogar compartido.,peluqueria_y_barberia,dentro_del_mvp,validation,si,VEN_0040_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,80.24,validation,VEN_0040_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,requerida,cobertura_esencial_menor_a_un_mes | cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,96,1,4,True,True,True,True,True
PERF_0041,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura y fotografia y video.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,test,si,VEN_0041_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,99.09,test,VEN_0041_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,100,2,2,True,True,True,True,True
PERF_0042,Trabajo como nutricionista dietista. En mi tiempo libre disfruto cocina y reposteria y fotografia y video. Tengo como responsabilidad apoyo mensual madre o padre.,nutricion_y_dietetica,dentro_del_mvp,train,si,VEN_0042_3,2026-04-01,2026-06-30,situacion_critica,calculado,99.87,train,VEN_0042_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,98,7,4,True,True,True,True,True
PERF_0043,Trabajo como disc jockey. También genero ingresos con horticultor. En mi tiempo libre disfruto manualidades y artesanias y jardineria y agricultura urbana. Quiero hacer certificacion profesional.,musica_y_entretenimiento_dj,dentro_del_mvp,test,si,VEN_0043_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,99.41,test,VEN_0043_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,100,2,1,True,True,True,True,True
PERF_0044,Trabajo como ciclista. También genero ingresos con vendedor de tienda. En mi tiempo libre disfruto musica y cocina y reposteria. Quiero pagar deuda.,deporte_competitivo_ciclismo,dentro_del_mvp,test,si,VEN_0044_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,94.45,test,VEN_0044_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,93,3,4,True,True,True,True,True
PERF_0045,Trabajo como repartidor de domicilios. En mi tiempo libre disfruto fotografia y video. Quiero pagar deuda.,domicilios_mensajeria_y_reparto,dentro_del_mvp,train,si,VEN_0045_3,2026-04-01,2026-06-30,variable_resiliente,calculado,93.13,train,VEN_0045_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,94,2,3,True,True,True,True,True
PERF_0046,Trabajo como vendedor de tienda. En mi tiempo libre disfruto videojuegos y streaming y jardineria y agricultura urbana. Quiero hacer certificacion profesional. Tengo como responsabilidad ninguna declarada.,ventas_al_por_menor,dentro_del_mvp,train,si,VEN_0046_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,99.01,train,VEN_0046_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,no_requerida,cobertura_esencial_menor_a_un_mes | hobbies_no_eliminados_automaticamente,100,1,9,True,True,True,True,True
PERF_0047,Trabajo como editor de video. En mi tiempo libre disfruto turismo y viajes y cocina y reposteria. Quiero ampliar actividad economica. Tengo como responsabilidad apoyo parcial a dos familiares.,diseno_audiovisual_y_edicion_de_video,dentro_del_mvp,train,si,VEN_0047_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,77.98,train,VEN_0047_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_REVISAR_CAMBIO_RECIENTE,solicitar_contexto,modelo_restringido,requerida,cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,98,1,6,True,True,True,True,True
PERF_0048,Trabajo como docente de educación básica secundaria. En mi tiempo libre disfruto impresion 3d y turismo y viajes. Quiero comprar equipo de trabajo.,docencia_y_formacion,dentro_del_mvp,train,si,VEN_0048_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,98.02,train,VEN_0048_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,95,2,5,True,True,True,True,True
PERF_0049,Trabajo como horticultor. En mi tiempo libre disfruto jardineria y agricultura urbana. Quiero comprar bicicleta.,agricultura,dentro_del_mvp,train,si,VEN_0049_3,2026-04-01,2026-06-30,situacion_critica,calculado,99.93,train,VEN_0049_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,97,2,4,True,True,True,True,True
PERF_0050,Trabajo como barbero. Quiero hacer viaje.,peluqueria_y_barberia,dentro_del_mvp,test,si,VEN_0050_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,99.63,test,VEN_0050_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,90,2,2,True,True,True,True,True
PERF_0051,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura. Quiero mejorar vivienda.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,test,si,VEN_0051_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,91.64,test,VEN_0051_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,91,3,2,True,True,True,True,True
PERF_0052,Trabajo como nutricionista dietista. En mi tiempo libre disfruto cocina y reposteria. Tengo como responsabilidad apoyo mensual madre o padre.,nutricion_y_dietetica,dentro_del_mvp,train,si,VEN_0052_3,2026-04-01,2026-06-30,variable_resiliente,calculado,82.11,train,VEN_0052_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,100,3,3,True,True,True,True,True
