perfil_id,descripcion_normalizada,direccion,tipo_movimiento,categoria_principal,ocurrencias,fecha_inicial,fecha_final,valor_mediano,dataset_declara_recurrente,regularidad_dataset,estado_ingreso_perfil,fechas_distintas,intervalo_mediano_dias,dispersion_intervalo_dias,cadencia_observada,regularidad_pct,estado_patron,naturaleza_observada,nivel_incertidumbre
PERF_0002,herramienta educativa,salida,gasto,Educación,3,2026-04-25,2026-05-06,67000.0,True,fijo,fijo,3,5.5,2.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0002,recarga transporte,salida,gasto,Transporte,3,2026-04-27,2026-06-14,156000.0,True,fijo,fijo,3,24.0,1.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0002,almacen fotografia,salida,gasto,Ocio,1,2026-04-27,2026-04-27,75000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,apoyo familiar,salida,transferencia_apoyo,Transferencias y apoyo,1,2026-04-28,2026-04-28,124000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,accesorio camara,salida,gasto,Ocio,2,2026-04-29,2026-05-12,59000.0,True,fijo,fijo,2,13.0,0.0,quincenal,100.0,posible_recurrencia,fijo,alta
PERF_0002,medicamentos,salida,gasto,Salud,2,2026-05-07,2026-05-30,110500.0,False,variable,fijo,2,23.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0002,plan celular,salida,gasto,Servicios,4,2026-05-08,2026-06-12,130000.0,True,fijo,fijo,3,17.5,13.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0002,almacen moda,salida,gasto,Vestimenta,2,2026-05-10,2026-06-13,95000.0,True,fijo,fijo,2,34.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0002,tienda ropa,salida,gasto,Vestimenta,1,2026-05-12,2026-05-12,96000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,salida fotografica,salida,gasto,Ocio,1,2026-05-13,2026-05-13,89000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,software historia clinica,salida,gasto,Inversión productiva,2,2026-05-17,2026-05-26,135500.0,False,variable,fijo,2,9.0,0.0,semanal,100.0,posible_recurrencia,fijo,alta
PERF_0002,almuerzo,salida,gasto,Alimentación,1,2026-05-18,2026-05-18,65000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,calzado,salida,gasto,Vestimenta,1,2026-05-18,2026-05-18,64000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,seguro salud,salida,gasto,Salud,1,2026-05-21,2026-05-21,153000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,laboratorio clinico,salida,gasto,Salud,1,2026-05-22,2026-05-22,155000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,comida rapida,salida,gasto,Alimentación,1,2026-05-22,2026-05-22,73000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,curso de cocina,salida,gasto,Ocio,2,2026-05-24,2026-06-01,32500.0,True,fijo,fijo,2,8.0,0.0,semanal,100.0,posible_recurrencia,fijo,alta
PERF_0002,restaurante,salida,gasto,Alimentación,1,2026-05-26,2026-05-26,82000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,sastreria,salida,gasto,Vestimenta,2,2026-05-27,2026-06-25,95500.0,True,fijo,fijo,2,29.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0002,zapateria,salida,gasto,Vestimenta,1,2026-05-28,2026-05-28,67000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,ingredientes especiales,salida,gasto,Ocio,1,2026-05-30,2026-05-30,40000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,repuesto transporte,salida,gasto,Transporte,1,2026-06-04,2026-06-04,53000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,prestamo informal a tercero,salida,transferencia_apoyo,Transferencias y apoyo,2,2026-06-05,2026-06-17,154000.0,False,variable,fijo,2,12.0,0.0,quincenal,100.0,posible_recurrencia,fijo,alta
PERF_0002,netflix,salida,gasto,Ocio,1,2026-06-06,2026-06-06,91000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,arreglo prenda,salida,gasto,Vestimenta,1,2026-06-07,2026-06-07,115000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,utensilios reposteria,salida,gasto,Ocio,1,2026-06-08,2026-06-08,72000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,reserva viaje,salida,gasto,Ocio,1,2026-06-11,2026-06-11,53000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,uniforme trabajo,salida,gasto,Vestimenta,1,2026-06-16,2026-06-16,61000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,drogueria,salida,gasto,Salud,1,2026-04-02,2026-04-02,344000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,pago arriendo,salida,gasto,Vivienda,3,2026-04-03,2026-06-02,954000.0,True,fijo,mixto,3,30.0,2.0,mensual,100.0,regularidad_observada,fijo,media
PERF_0003,pago ingreso principal,entrada,ingreso_generado,Ingresos laborales,3,2026-04-05,2026-06-05,620000.0,True,fijo,mixto,3,30.5,0.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0003,curso en linea,salida,gasto,Educación,1,2026-04-05,2026-04-05,176000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,transferencia ayuda,salida,transferencia_apoyo,Transferencias y apoyo,1,2026-04-06,2026-04-06,226000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,transmilenio,salida,gasto,Transporte,1,2026-04-07,2026-04-07,376000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,juego digital,salida,gasto,Ocio,1,2026-04-09,2026-04-09,184000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,ingreso adicional,entrada,ingreso_generado,Trabajo independiente,38,2026-04-09,2026-06-28,650000.0,True,fijo,mixto,34,2.0,1.0,irregular,60.61,sin_regularidad_suficiente,variable,media
PERF_0003,filamento impresion 3d,salida,gasto,Ocio,1,2026-04-10,2026-04-10,182000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,prestamo informal a tercero,salida,transferencia_apoyo,Transferencias y apoyo,2,2026-04-11,2026-05-19,257000.0,True,fijo,mixto,2,38.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0003,factura energia,salida,gasto,Servicios,6,2026-04-15,2026-06-20,214500.0,True,fijo,mixto,6,12.0,7.0,irregular,40.0,sin_regularidad_suficiente,variable,media
PERF_0003,tienda alimentos,salida,gasto,Alimentación,2,2026-04-19,2026-06-04,247500.0,True,fijo,mixto,2,46.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0003,debito comercio,salida,gasto,Otra / ambigua,1,2026-04-19,2026-04-19,215000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,factura internet,salida,gasto,Servicios,4,2026-04-20,2026-06-15,192500.0,True,fijo,mixto,4,22.0,9.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0003,cafeteria,salida,gasto,Alimentación,1,2026-04-21,2026-04-21,82000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,zapateria,salida,gasto,Vestimenta,1,2026-04-22,2026-04-22,77000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,licencia software dj,salida,gasto,Inversión productiva,1,2026-04-24,2026-04-24,470000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,sastreria,salida,gasto,Vestimenta,1,2026-04-27,2026-04-27,101000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,cuota prestamo,salida,pago_deuda,Deuda y financiación,4,2026-04-27,2026-06-25,192500.0,True,fijo,mixto,4,22.0,1.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0003,recarga transporte,salida,gasto,Transporte,3,2026-04-28,2026-06-17,267000.0,True,fijo,mixto,3,25.0,3.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0003,supermercado,salida,gasto,Alimentación,3,2026-04-29,2026-06-25,199000.0,True,fijo,mixto,3,28.5,12.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0003,app transporte,salida,gasto,Transporte,2,2026-05-02,2026-06-07,173500.0,True,fijo,mixto,2,36.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0003,taller vehiculo,salida,gasto,Transporte,2,2026-05-06,2026-06-22,125000.0,True,fijo,mixto,2,47.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0003,materiales manualidades,salida,gasto,Ocio,2,2026-05-13,2026-06-16,168500.0,True,fijo,mixto,2,34.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0003,factura gas,salida,gasto,Servicios,1,2026-05-15,2026-05-15,160000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,netflix,salida,gasto,Ocio,2,2026-05-20,2026-06-24,119500.0,True,fijo,mixto,2,35.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0003,repuesto impresora 3d,salida,gasto,Ocio,1,2026-05-21,2026-05-21,98000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,disco duro proyecto,salida,gasto,Inversión productiva,2,2026-05-22,2026-06-03,304500.0,True,fijo,mixto,2,12.0,0.0,quincenal,100.0,posible_recurrencia,fijo,alta
PERF_0003,entrada evento,salida,gasto,Ocio,1,2026-05-30,2026-05-30,188000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,libreria,salida,gasto,Educación,1,2026-05-31,2026-05-31,145000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,plan celular,salida,gasto,Servicios,1,2026-06-08,2026-06-08,235000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,taller artesanias,salida,gasto,Ocio,2,2026-06-13,2026-06-25,83000.0,False,variable,mixto,2,12.0,0.0,quincenal,100.0,posible_recurrencia,fijo,alta
PERF_0003,factura agua,salida,gasto,Servicios,1,2026-06-15,2026-06-15,248000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,accesorio camara,salida,gasto,Inversión productiva,1,2026-06-23,2026-06-23,304000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0003,uniforme trabajo,salida,gasto,Vestimenta,1,2026-06-26,2026-06-26,96000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,cuota hipoteca,salida,gasto,Vivienda,3,2026-04-01,2026-06-01,2651000.0,True,fijo,variable,3,30.5,3.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0004,inscripcion competencia,salida,gasto,Inversión productiva,2,2026-04-01,2026-05-09,588500.0,True,fijo,variable,2,38.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0004,plataforma musica,salida,gasto,Ocio,3,2026-04-01,2026-06-15,184000.0,True,fijo,variable,3,37.5,26.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0004,patrocinio deportivo,entrada,ingreso_generado,Ingresos laborales,2,2026-04-03,2026-05-21,1777500.0,True,fijo,variable,2,48.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0004,ferreteria reparacion,salida,gasto,Vivienda,1,2026-04-04,2026-04-04,56000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,pago plan alimentario,entrada,ingreso_generado,Trabajo independiente,7,2026-04-05,2026-06-26,587000.0,True,fijo,variable,7,15.0,9.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0004,pago tarjeta credito,salida,pago_deuda,Deuda y financiación,4,2026-04-06,2026-06-27,706000.0,True,fijo,variable,3,41.0,6.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0004,factura internet,salida,gasto,Servicios,4,2026-04-08,2026-06-20,442500.0,True,fijo,variable,4,26.0,17.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0004,premio competencia,entrada,ingreso_generado,Otros recursos recibidos,5,2026-04-08,2026-06-23,1315000.0,True,fijo,variable,5,15.0,5.0,irregular,25.0,sin_regularidad_suficiente,variable,media
PERF_0004,apoyo familiar,salida,transferencia_apoyo,Transferencias y apoyo,3,2026-04-09,2026-06-04,173000.0,True,fijo,variable,3,28.0,16.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0004,insumos consultorio,salida,gasto,Inversión productiva,1,2026-04-11,2026-04-11,443000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,factura energia,salida,gasto,Servicios,4,2026-04-12,2026-06-15,456500.0,True,fijo,variable,3,32.0,6.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0004,accesorios personales,salida,gasto,Vestimenta,1,2026-04-14,2026-04-14,161000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,software historia clinica,salida,gasto,Inversión productiva,1,2026-04-15,2026-04-15,351000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,recarga transporte,salida,gasto,Transporte,3,2026-04-16,2026-06-27,658000.0,True,fijo,variable,3,36.0,14.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0004,drogueria,salida,gasto,Salud,1,2026-04-16,2026-04-16,274000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,supermercado,salida,gasto,Alimentación,4,2026-04-19,2026-06-29,427000.0,True,fijo,variable,4,30.0,7.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0004,donacion,salida,transferencia_apoyo,Transferencias y apoyo,1,2026-04-20,2026-04-20,53000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,plan celular,salida,gasto,Servicios,1,2026-04-20,2026-04-20,283000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,examen medico,salida,gasto,Salud,1,2026-04-22,2026-04-22,310000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0004,abono honorarios,entrada,ingreso_generado,Trabajo independiente,1,2026-04-22,2026-04-22,797000.0,False,variable,variable,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
