ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,particion,prob_acumulacion_estable_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,prob_deterioro_reciente_pct,prob_fragilidad_sostenida_pct,prob_situacion_critica_pct,prob_uso_planificado_reserva_pct
VEN_0005_3,PERF_0005,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,69.68,media,train,0.12,1.03,26.4,69.68,0.14,0.0,2.63
VEN_0006_1,PERF_0006,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,97.13,baja,train,0.0,1.81,0.15,97.13,0.59,0.0,0.32
VEN_0006_2,PERF_0006,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,91.82,baja,train,0.0,0.07,1.76,4.55,91.82,0.56,1.23
VEN_0006_3,PERF_0006,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.41,baja,train,0.0,0.0,0.32,0.12,99.41,0.05,0.09
VEN_0007_1,PERF_0007,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,95.75,baja,train,0.0,0.11,0.0,3.7,95.75,0.44,0.0
VEN_0007_2,PERF_0007,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,96.38,baja,train,0.0,0.0,0.15,0.0,3.47,96.38,0.0
VEN_0007_3,PERF_0007,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0
VEN_0008_1,PERF_0008,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,95.1,baja,train,95.1,3.16,1.74,0.0,0.0,0.0,0.0
VEN_0008_2,PERF_0008,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,93.72,baja,train,93.72,2.1,3.23,0.95,0.0,0.0,0.0
VEN_0008_3,PERF_0008,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,93.67,baja,train,93.67,1.72,4.45,0.16,0.0,0.0,0.0
VEN_0009_1,PERF_0009,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.76,baja,train,0.88,97.76,0.93,0.43,0.0,0.0,0.0
VEN_0009_2,PERF_0009,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,99.99,baja,train,0.01,99.99,0.0,0.0,0.0,0.0,0.0
VEN_0009_3,PERF_0009,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.91,baja,train,1.81,97.91,0.15,0.14,0.0,0.0,0.0
VEN_0010_1,PERF_0010,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,95.84,baja,train,3.05,95.84,0.72,0.14,0.09,0.0,0.14
VEN_0010_2,PERF_0010,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,77.99,baja,train,0.12,0.34,77.99,12.81,0.0,0.0,8.73
VEN_0010_3,PERF_0010,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,83.86,baja,train,0.35,8.27,83.86,5.84,0.0,0.0,1.68
VEN_0011_1,PERF_0011,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,97.08,baja,train,97.08,2.31,0.61,0.0,0.0,0.0,0.0
VEN_0011_2,PERF_0011,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,99.25,baja,train,0.0,0.0,0.75,0.0,0.0,0.0,99.25
VEN_0011_3,PERF_0011,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,99.09,baja,train,0.0,0.0,0.3,0.62,0.0,0.0,99.09
VEN_0012_1,PERF_0012,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,91.07,baja,validation,6.35,91.07,2.4,0.18,0.0,0.0,0.0
VEN_0012_2,PERF_0012,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,98.16,baja,validation,0.98,98.16,0.86,0.0,0.0,0.0,0.0
VEN_0012_3,PERF_0012,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,76.03,baja,validation,0.0,1.62,21.02,76.03,0.44,0.0,0.89
VEN_0013_1,PERF_0013,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,79.07,baja,train,0.0,0.06,0.17,79.07,20.7,0.0,0.0
VEN_0013_2,PERF_0013,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,98.61,baja,train,0.0,0.0,0.0,1.27,98.61,0.12,0.0
VEN_0013_3,PERF_0013,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.3,baja,train,0.0,0.0,0.0,0.33,99.3,0.37,0.0
VEN_0014_1,PERF_0014,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,94.2,baja,train,0.0,0.0,0.0,0.3,94.2,5.5,0.0
VEN_0014_2,PERF_0014,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,99.69,baja,train,0.0,0.0,0.0,0.0,0.31,99.69,0.0
VEN_0014_3,PERF_0014,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0
VEN_0015_1,PERF_0015,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,96.53,baja,train,96.53,3.21,0.27,0.0,0.0,0.0,0.0
VEN_0015_2,PERF_0015,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,98.38,baja,train,98.38,0.99,0.63,0.0,0.0,0.0,0.0
VEN_0015_3,PERF_0015,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.95,baja,train,98.95,0.41,0.64,0.0,0.0,0.0,0.0
VEN_0016_1,PERF_0016,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,94.52,baja,test,3.1,94.52,2.07,0.31,0.0,0.0,0.0
VEN_0016_2,PERF_0016,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,91.11,baja,test,7.02,91.11,1.73,0.15,0.0,0.0,0.0
VEN_0016_3,PERF_0016,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,92.89,baja,test,4.93,92.89,2.11,0.07,0.0,0.0,0.0
VEN_0017_1,PERF_0017,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.89,baja,train,1.96,97.89,0.15,0.0,0.0,0.0,0.0
VEN_0017_2,PERF_0017,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,87.58,baja,train,10.7,0.26,87.58,1.01,0.04,0.0,0.43
VEN_0017_3,PERF_0017,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,85.21,baja,train,0.63,6.03,85.21,6.41,0.0,0.0,1.72
VEN_0018_1,PERF_0018,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,98.16,baja,test,98.16,1.64,0.2,0.0,0.0,0.0,0.0
VEN_0018_2,PERF_0018,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,95.54,baja,test,0.0,1.35,2.99,0.11,0.0,0.0,95.54
VEN_0018_3,PERF_0018,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,97.11,baja,test,0.0,0.07,1.96,0.87,0.0,0.0,97.11
VEN_0019_1,PERF_0019,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,70.1,media,test,2.5,70.1,5.67,15.55,1.66,0.16,4.36
VEN_0019_2,PERF_0019,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,85.98,baja,test,1.07,85.98,1.84,10.72,0.14,0.0,0.26
VEN_0019_3,PERF_0019,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,64.09,media,test,0.0,2.43,27.12,64.09,5.67,0.0,0.69
VEN_0020_1,PERF_0020,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,97.41,baja,train,0.0,1.03,0.92,97.41,0.43,0.0,0.2
VEN_0020_2,PERF_0020,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,98.58,baja,train,0.0,0.17,0.23,0.51,98.58,0.41,0.12
VEN_0020_3,PERF_0020,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.21,baja,train,0.0,0.0,0.0,0.0,99.21,0.79,0.0
VEN_0021_1,PERF_0021,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,95.27,baja,train,0.0,0.22,0.0,1.83,95.27,2.69,0.0
VEN_0021_2,PERF_0021,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,92.6,baja,train,0.0,0.0,0.0,0.0,7.4,92.6,0.0
VEN_0021_3,PERF_0021,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.92,baja,train,0.0,0.0,0.0,0.0,0.08,99.92,0.0
VEN_0022_1,PERF_0022,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,92.71,baja,train,92.71,5.09,2.2,0.0,0.0,0.0,0.0
VEN_0022_2,PERF_0022,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,79.56,baja,train,79.56,1.29,14.34,4.58,0.0,0.0,0.24
VEN_0022_3,PERF_0022,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,97.88,baja,train,97.88,0.77,1.24,0.11,0.0,0.0,0.0
VEN_0023_1,PERF_0023,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.92,baja,train,5.88,93.92,0.2,0.0,0.0,0.0,0.0
VEN_0023_2,PERF_0023,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,97.6,baja,train,1.87,97.6,0.17,0.36,0.0,0.0,0.0
VEN_0023_3,PERF_0023,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,98.28,baja,train,1.35,98.28,0.37,0.0,0.0,0.0,0.0
VEN_0024_1,PERF_0024,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.72,baja,train,0.8,97.72,0.86,0.62,0.0,0.0,0.0
VEN_0024_2,PERF_0024,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,82.59,baja,train,0.0,1.06,82.59,14.26,0.0,0.0,2.08
VEN_0024_3,PERF_0024,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,84.04,baja,train,0.0,0.96,84.04,13.2,0.88,0.0,0.92
VEN_0025_1,PERF_0025,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,98.12,baja,validation,98.12,0.48,1.4,0.0,0.0,0.0,0.0
VEN_0025_2,PERF_0025,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,72.61,media,validation,0.0,0.14,21.16,5.9,0.18,0.0,72.61
VEN_0025_3,PERF_0025,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,97.32,baja,validation,0.0,0.0,1.26,1.24,0.17,0.0,97.32
VEN_0026_1,PERF_0026,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,92.87,baja,test,5.75,92.87,1.38,0.0,0.0,0.0,0.0
VEN_0026_2,PERF_0026,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,88.38,baja,test,4.07,88.38,2.7,4.84,0.0,0.0,0.0
VEN_0026_3,PERF_0026,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,75.47,baja,test,0.2,3.53,20.11,75.47,0.0,0.0,0.69
VEN_0027_1,PERF_0027,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,94.97,baja,train,0.0,1.07,0.81,94.97,3.02,0.0,0.13
VEN_0027_2,PERF_0027,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,95.62,baja,train,0.0,0.0,0.15,4.12,95.62,0.11,0.0
VEN_0027_3,PERF_0027,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,98.08,baja,train,0.0,0.08,0.15,1.7,98.08,0.0,0.0
VEN_0028_1,PERF_0028,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,95.66,baja,train,0.0,0.3,0.0,2.9,95.66,1.14,0.0
VEN_0028_2,PERF_0028,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,99.12,baja,train,0.0,0.0,0.0,0.0,0.88,99.12,0.0
VEN_0028_3,PERF_0028,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.45,baja,train,0.0,0.0,0.0,0.0,0.55,99.45,0.0
VEN_0029_1,PERF_0029,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,91.26,baja,train,91.26,7.36,1.0,0.38,0.0,0.0,0.0
VEN_0029_2,PERF_0029,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,98.17,baja,train,98.17,1.54,0.28,0.0,0.0,0.0,0.0
VEN_0029_3,PERF_0029,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.81,baja,train,98.81,0.84,0.35,0.0,0.0,0.0,0.0
VEN_0030_1,PERF_0030,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,96.54,baja,train,2.86,96.54,0.15,0.45,0.0,0.0,0.0
VEN_0030_2,PERF_0030,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,99.28,baja,train,0.22,99.28,0.5,0.0,0.0,0.0,0.0
VEN_0030_3,PERF_0030,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,89.96,baja,train,9.87,89.96,0.17,0.0,0.0,0.0,0.0
VEN_0031_1,PERF_0031,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,91.31,baja,train,3.64,91.31,0.8,1.77,0.05,0.0,2.43
VEN_0031_2,PERF_0031,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,77.28,baja,train,0.0,0.65,77.28,15.93,0.0,0.0,6.14
VEN_0031_3,PERF_0031,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,86.51,baja,train,0.0,0.12,86.51,7.35,0.07,0.0,5.94
VEN_0032_1,PERF_0032,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,95.55,baja,test,95.55,1.64,2.61,0.2,0.0,0.0,0.0
VEN_0032_2,PERF_0032,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,98.68,baja,test,0.0,0.2,0.89,0.24,0.0,0.0,98.68
VEN_0032_3,PERF_0032,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,96.49,baja,test,0.0,0.58,1.25,0.95,0.73,0.0,96.49
VEN_0033_1,PERF_0033,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.87,baja,train,1.4,97.87,0.61,0.11,0.0,0.0,0.0
VEN_0033_2,PERF_0033,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,95.58,baja,train,3.82,95.58,0.46,0.14,0.0,0.0,0.0
VEN_0033_3,PERF_0033,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,74.91,media,train,0.28,6.58,16.53,74.91,0.0,0.0,1.7
VEN_0034_1,PERF_0034,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,95.36,baja,train,0.0,1.32,1.21,95.36,1.87,0.0,0.25
VEN_0034_2,PERF_0034,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,86.89,baja,train,0.0,0.4,2.59,7.81,86.89,0.43,1.88
VEN_0034_3,PERF_0034,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,93.65,baja,train,0.0,0.15,2.32,2.54,93.65,0.0,1.34
VEN_0035_1,PERF_0035,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,97.75,baja,train,0.0,0.0,0.0,1.64,97.75,0.61,0.0
VEN_0035_2,PERF_0035,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,98.4,baja,train,0.0,0.0,0.0,0.0,1.6,98.4,0.0
VEN_0035_3,PERF_0035,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.93,baja,train,0.0,0.0,0.0,0.0,0.07,99.93,0.0
VEN_0036_1,PERF_0036,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,93.57,baja,train,93.57,2.56,3.64,0.22,0.0,0.0,0.0
VEN_0036_2,PERF_0036,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,96.76,baja,train,96.76,2.52,0.72,0.0,0.0,0.0,0.0
VEN_0036_3,PERF_0036,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,97.58,baja,train,97.58,0.51,1.91,0.0,0.0,0.0,0.0
VEN_0037_1,PERF_0037,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,94.16,baja,train,0.56,94.16,2.52,2.76,0.0,0.0,0.0
VEN_0037_2,PERF_0037,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,94.6,baja,train,2.53,94.6,1.0,1.44,0.43,0.0,0.0
VEN_0037_3,PERF_0037,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,95.14,baja,train,3.86,95.14,0.77,0.23,0.0,0.0,0.0
VEN_0038_1,PERF_0038,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,89.51,baja,train,6.03,89.51,0.32,2.2,0.28,0.0,1.66
VEN_0038_2,PERF_0038,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,78.02,baja,train,0.0,1.59,78.02,5.02,0.4,0.0,14.97
VEN_0038_3,PERF_0038,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,64.95,media,train,0.06,1.62,64.95,1.63,0.56,0.0,31.18
VEN_0039_1,PERF_0039,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,57.17,media,test,57.17,24.04,7.21,8.75,0.38,0.0,2.46
VEN_0039_2,PERF_0039,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,67.5,media,test,0.44,3.86,13.27,9.19,5.74,0.0,67.5
VEN_0039_3,PERF_0039,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,53.42,media,test,0.28,3.36,26.83,9.79,6.31,0.0,53.42
VEN_0040_1,PERF_0040,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,89.15,baja,validation,2.28,89.15,3.46,5.12,0.0,0.0,0.0
VEN_0040_2,PERF_0040,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,93.92,baja,validation,2.36,93.92,1.13,2.34,0.07,0.0,0.18
VEN_0040_3,PERF_0040,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,80.24,baja,validation,0.0,3.42,15.4,80.24,0.49,0.0,0.46
VEN_0041_1,PERF_0041,2026-04-30,2026-04-01,2026-04-30,deterioro_reciente,deterioro_reciente,calculado,96.12,baja,test,0.0,0.2,0.47,96.12,2.74,0.0,0.46
VEN_0041_2,PERF_0041,2026-05-31,2026-04-01,2026-05-31,fragilidad_sostenida,fragilidad_sostenida,calculado,92.5,baja,test,0.0,0.07,0.9,5.37,92.5,0.32,0.84
VEN_0041_3,PERF_0041,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.09,baja,test,0.0,0.0,0.1,0.4,99.09,0.41,0.0
VEN_0042_1,PERF_0042,2026-04-30,2026-04-01,2026-04-30,fragilidad_sostenida,fragilidad_sostenida,calculado,98.01,baja,train,0.0,0.0,0.0,1.83,98.01,0.16,0.0
VEN_0042_2,PERF_0042,2026-05-31,2026-04-01,2026-05-31,situacion_critica,situacion_critica,calculado,98.51,baja,train,0.0,0.0,0.0,0.0,1.49,98.51,0.0
VEN_0042_3,PERF_0042,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.87,baja,train,0.0,0.0,0.0,0.0,0.13,99.87,0.0
VEN_0043_1,PERF_0043,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,89.38,baja,test,89.38,7.27,2.97,0.37,0.0,0.0,0.0
VEN_0043_2,PERF_0043,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,95.48,baja,test,95.48,2.83,1.69,0.0,0.0,0.0,0.0
VEN_0043_3,PERF_0043,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,99.41,baja,test,99.41,0.0,0.45,0.13,0.0,0.0,0.0
VEN_0044_1,PERF_0044,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,90.88,baja,test,0.57,90.88,1.76,6.8,0.0,0.0,0.0
VEN_0044_2,PERF_0044,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,96.35,baja,test,1.28,96.35,0.31,2.06,0.0,0.0,0.0
VEN_0044_3,PERF_0044,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,94.45,baja,test,5.0,94.45,0.55,0.0,0.0,0.0,0.0
VEN_0045_1,PERF_0045,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,98.88,baja,train,0.7,98.88,0.0,0.43,0.0,0.0,0.0
VEN_0045_2,PERF_0045,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,94.56,baja,train,4.67,0.19,94.56,0.49,0.0,0.0,0.09
VEN_0045_3,PERF_0045,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,93.13,baja,train,0.13,3.83,93.13,2.73,0.0,0.0,0.18
VEN_0046_1,PERF_0046,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,98.74,baja,train,98.74,1.17,0.0,0.08,0.0,0.0,0.0
VEN_0046_2,PERF_0046,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,99.74,baja,train,0.0,0.0,0.16,0.1,0.0,0.0,99.74
VEN_0046_3,PERF_0046,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,99.01,baja,train,0.0,0.0,0.61,0.25,0.13,0.0,99.01
VEN_0047_1,PERF_0047,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,96.89,baja,train,2.27,96.89,0.44,0.26,0.0,0.0,0.14
