ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,particion,prob_acumulacion_estable_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,prob_deterioro_reciente_pct,prob_fragilidad_sostenida_pct,prob_situacion_critica_pct,prob_uso_planificado_reserva_pct,regularidades_observadas,eventos_inusuales_observados,tendencia_entradas,tendencia_salidas
VEN_0198_3,PERF_0198,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.67,baja,train,0.14,97.67,1.66,0.52,0.0,0.0,0.0,1,4.0,aumento_observado,disminucion_observada
VEN_0168_3,PERF_0168,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,96.61,baja,train,0.0,0.0,0.0,0.0,3.39,96.61,0.0,1,3.0,aumento_observado,estabilidad_observada
VEN_0151_3,PERF_0151,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,99.92,baja,train,0.0,0.0,0.08,0.0,0.0,0.0,99.92,2,7.0,disminucion_observada,aumento_observado
VEN_0157_3,PERF_0157,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,86.53,baja,train,0.85,6.06,86.53,5.09,0.04,0.0,1.44,2,2.0,estabilidad_observada,estabilidad_observada
VEN_0170_3,PERF_0170,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.11,baja,validation,2.33,93.11,2.77,1.79,0.0,0.0,0.0,1,1.0,disminucion_observada,disminucion_observada
VEN_0178_3,PERF_0178,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,83.74,baja,validation,0.0,0.42,83.74,7.8,3.06,0.0,4.98,2,5.0,aumento_observado,estabilidad_observada
VEN_0199_3,PERF_0199,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,91.46,baja,validation,7.78,0.24,91.46,0.52,0.0,0.0,0.0,2,5.0,estabilidad_observada,disminucion_observada
VEN_0181_3,PERF_0181,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.1,baja,train,0.0,0.0,0.25,0.24,99.1,0.41,0.0,2,5.0,estabilidad_observada,estabilidad_observada
VEN_0176_3,PERF_0176,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,96.63,baja,train,96.63,0.48,2.89,0.0,0.0,0.0,0.0,2,3.0,disminucion_observada,estabilidad_observada
VEN_0195_3,PERF_0195,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.59,baja,validation,0.0,0.0,0.0,0.0,99.59,0.41,0.0,2,,estabilidad_observada,estabilidad_observada
VEN_0165_3,PERF_0165,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,98.44,baja,train,0.0,0.0,1.4,0.16,0.0,0.0,98.44,1,11.0,disminucion_observada,aumento_observado
VEN_0182_3,PERF_0182,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.59,baja,train,0.0,0.0,0.0,0.0,0.41,99.59,0.0,4,5.0,estabilidad_observada,estabilidad_observada
VEN_0191_3,PERF_0191,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,96.2,baja,validation,0.99,96.2,1.4,1.42,0.0,0.0,0.0,1,2.0,estabilidad_observada,estabilidad_observada
VEN_0179_3,PERF_0179,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,89.94,baja,train,0.14,0.73,3.31,4.84,1.05,0.0,89.94,3,5.0,disminucion_observada,aumento_observado
VEN_0163_3,PERF_0163,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,88.79,baja,test,5.27,88.79,2.59,3.35,0.0,0.0,0.0,2,1.0,disminucion_observada,disminucion_observada
VEN_0175_3,PERF_0175,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,validation,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2,2.0,disminucion_observada,disminucion_observada
VEN_0155_3,PERF_0155,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,97.94,baja,train,97.94,0.66,1.4,0.0,0.0,0.0,0.0,1,2.0,disminucion_observada,disminucion_observada
VEN_0192_3,PERF_0192,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,74.66,media,train,0.0,0.66,74.66,13.3,0.66,0.0,10.72,2,1.0,disminucion_observada,estabilidad_observada
VEN_0186_3,PERF_0186,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,96.44,baja,test,0.0,0.13,2.71,0.72,0.0,0.0,96.44,3,7.0,disminucion_observada,aumento_observado
VEN_0190_3,PERF_0190,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.71,baja,train,98.71,0.51,0.77,0.0,0.0,0.0,0.0,2,5.0,estabilidad_observada,estabilidad_observada
VEN_0187_3,PERF_0187,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,76.04,baja,test,0.18,0.8,20.8,76.04,0.24,0.0,1.94,1,2.0,disminucion_observada,estabilidad_observada
VEN_0166_3,PERF_0166,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,93.33,baja,train,0.0,0.31,5.62,93.33,0.0,0.0,0.73,2,5.0,disminucion_observada,estabilidad_observada
VEN_0193_3,PERF_0193,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,97.36,baja,train,0.0,0.11,2.42,0.1,0.0,0.0,97.36,2,1.0,disminucion_observada,aumento_observado
VEN_0174_3,PERF_0174,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.6,baja,train,0.0,0.0,0.0,0.0,99.6,0.4,0.0,2,2.0,estabilidad_observada,disminucion_observada
VEN_0159_3,PERF_0159,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,65.54,media,train,0.23,3.04,28.58,65.54,0.17,0.0,2.45,1,4.0,disminucion_observada,aumento_observado
VEN_0154_3,PERF_0154,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4,4.0,estabilidad_observada,estabilidad_observada
VEN_0158_3,PERF_0158,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,94.21,baja,train,0.0,0.41,1.97,1.43,1.98,0.0,94.21,3,8.0,aumento_observado,aumento_observado
VEN_0188_3,PERF_0188,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.66,baja,validation,0.0,0.0,0.0,0.0,99.66,0.34,0.0,1,4.0,aumento_observado,estabilidad_observada
VEN_0194_3,PERF_0194,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,92.59,baja,validation,0.06,0.92,6.04,92.59,0.0,0.0,0.39,3,6.0,estabilidad_observada,estabilidad_observada
VEN_0185_3,PERF_0185,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,56.36,media,test,0.12,0.43,56.36,31.98,4.85,0.0,6.25,4,,disminucion_observada,disminucion_observada
VEN_0173_3,PERF_0173,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,91.09,baja,train,0.0,0.54,7.79,91.09,0.04,0.0,0.52,1,2.0,estabilidad_observada,estabilidad_observada
VEN_0180_3,PERF_0180,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,78.6,baja,train,0.0,0.82,20.19,78.6,0.07,0.0,0.32,3,1.0,disminucion_observada,estabilidad_observada
VEN_0169_3,PERF_0169,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,89.48,baja,train,89.48,7.82,2.69,0.0,0.0,0.0,0.0,1,1.0,disminucion_observada,estabilidad_observada
VEN_0156_3,PERF_0156,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,96.33,baja,train,1.31,96.33,1.04,1.27,0.05,0.0,0.0,3,3.0,disminucion_observada,disminucion_observada
VEN_0153_3,PERF_0153,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,98.43,baja,validation,0.0,0.0,0.0,0.0,98.43,1.57,0.0,2,3.0,disminucion_observada,disminucion_observada
VEN_0100_3,PERF_0100,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.6,baja,train,0.84,97.6,0.71,0.84,0.0,0.0,0.0,1,7.0,disminucion_observada,estabilidad_observada
VEN_0149_3,PERF_0149,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,96.1,baja,train,2.97,96.1,0.85,0.09,0.0,0.0,0.0,2,4.0,aumento_observado,disminucion_observada
VEN_0052_3,PERF_0052,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,82.11,baja,train,0.27,2.2,82.11,9.8,0.94,0.19,4.48,3,3.0,disminucion_observada,estabilidad_observada
VEN_0051_3,PERF_0051,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,91.64,baja,test,4.91,91.64,2.73,0.57,0.0,0.0,0.15,3,2.0,estabilidad_observada,disminucion_observada
VEN_0050_3,PERF_0050,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,99.63,baja,test,99.63,0.0,0.37,0.0,0.0,0.0,0.0,2,2.0,estabilidad_observada,disminucion_observada
VEN_0049_3,PERF_0049,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.93,baja,train,0.0,0.0,0.0,0.0,0.07,99.93,0.0,2,4.0,estabilidad_observada,estabilidad_observada
VEN_0048_3,PERF_0048,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,98.02,baja,train,0.0,0.0,0.0,0.11,98.02,1.87,0.0,2,5.0,aumento_observado,disminucion_observada
VEN_0047_3,PERF_0047,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,77.98,baja,train,0.2,6.82,13.33,77.98,0.18,0.0,1.49,1,6.0,estabilidad_observada,aumento_observado
VEN_0053_3,PERF_0053,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,97.72,baja,train,0.15,0.4,0.78,0.82,0.14,0.0,97.72,1,10.0,disminucion_observada,aumento_observado
VEN_0046_3,PERF_0046,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,99.01,baja,train,0.0,0.0,0.61,0.25,0.13,0.0,99.01,1,9.0,disminucion_observada,aumento_observado
VEN_0044_3,PERF_0044,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,94.45,baja,test,5.0,94.45,0.55,0.0,0.0,0.0,0.0,3,4.0,estabilidad_observada,estabilidad_observada
VEN_0043_3,PERF_0043,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,99.41,baja,test,99.41,0.0,0.45,0.13,0.0,0.0,0.0,2,1.0,disminucion_observada,estabilidad_observada
VEN_0042_3,PERF_0042,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.87,baja,train,0.0,0.0,0.0,0.0,0.13,99.87,0.0,7,4.0,estabilidad_observada,estabilidad_observada
VEN_0041_3,PERF_0041,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.09,baja,test,0.0,0.0,0.1,0.4,99.09,0.41,0.0,2,2.0,estabilidad_observada,disminucion_observada
VEN_0040_3,PERF_0040,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,80.24,baja,validation,0.0,3.42,15.4,80.24,0.49,0.0,0.46,1,4.0,disminucion_observada,estabilidad_observada
VEN_0039_3,PERF_0039,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,53.42,media,test,0.28,3.36,26.83,9.79,6.31,0.0,53.42,2,6.0,disminucion_observada,aumento_observado
VEN_0045_3,PERF_0045,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,93.13,baja,train,0.13,3.83,93.13,2.73,0.0,0.0,0.18,2,3.0,estabilidad_observada,estabilidad_observada
VEN_0054_3,PERF_0054,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,79.19,baja,train,0.12,0.33,18.57,79.19,0.5,0.0,1.28,2,1.0,disminucion_observada,aumento_observado
VEN_0055_3,PERF_0055,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.37,baja,train,0.0,0.0,0.15,0.0,99.37,0.48,0.0,2,2.0,disminucion_observada,estabilidad_observada
VEN_0056_3,PERF_0056,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.62,baja,train,0.0,0.0,0.0,0.0,0.38,99.62,0.0,2,1.0,estabilidad_observada,estabilidad_observada
VEN_0071_3,PERF_0071,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,96.66,baja,validation,96.66,1.87,1.46,0.0,0.0,0.0,0.0,1,5.0,disminucion_observada,disminucion_observada
VEN_0070_3,PERF_0070,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3,1.0,disminucion_observada,estabilidad_observada
VEN_0069_3,PERF_0069,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,97.18,baja,validation,0.0,0.0,0.69,1.3,97.18,0.36,0.47,2,7.0,disminucion_observada,estabilidad_observada
VEN_0068_3,PERF_0068,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,68.88,media,train,0.71,14.43,15.67,68.88,0.0,0.0,0.31,2,6.0,aumento_observado,estabilidad_observada
VEN_0067_3,PERF_0067,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,98.63,baja,validation,0.0,0.17,0.87,0.33,0.0,0.0,98.63,1,4.0,disminucion_observada,aumento_observado
VEN_0066_3,PERF_0066,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,79.16,baja,validation,0.85,7.59,79.16,10.05,0.0,0.0,2.35,2,2.0,disminucion_observada,estabilidad_observada
VEN_0065_3,PERF_0065,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,95.71,baja,train,0.92,95.71,1.32,2.04,0.0,0.0,0.0,3,,aumento_observado,disminucion_observada
VEN_0064_3,PERF_0064,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,99.48,baja,validation,99.48,0.23,0.29,0.0,0.0,0.0,0.0,1,4.0,estabilidad_observada,disminucion_observada
VEN_0063_3,PERF_0063,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.48,baja,train,0.0,0.0,0.0,0.0,0.52,99.48,0.0,4,1.0,disminucion_observada,aumento_observado
VEN_0062_3,PERF_0062,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,97.65,baja,train,0.0,0.08,0.57,1.47,97.65,0.0,0.23,1,3.0,estabilidad_observada,aumento_observado
VEN_0061_3,PERF_0061,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,57.13,media,train,0.0,0.5,36.17,57.13,0.04,0.0,6.15,2,3.0,disminucion_observada,estabilidad_observada
VEN_0060_3,PERF_0060,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,94.47,baja,validation,0.0,0.04,4.62,0.6,0.27,0.0,94.47,2,2.0,estabilidad_observada,aumento_observado
VEN_0059_3,PERF_0059,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,75.76,baja,test,0.1,12.51,75.76,10.12,0.0,0.0,1.52,4,6.0,aumento_observado,disminucion_observada
VEN_0058_3,PERF_0058,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,94.99,baja,validation,1.43,94.99,2.05,1.54,0.0,0.0,0.0,2,,aumento_observado,disminucion_observada
VEN_0057_3,PERF_0057,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.2,baja,train,98.2,1.32,0.48,0.0,0.0,0.0,0.0,2,2.0,estabilidad_observada,estabilidad_observada
VEN_0038_3,PERF_0038,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,64.95,media,train,0.06,1.62,64.95,1.63,0.56,0.0,31.18,3,4.0,estabilidad_observada,estabilidad_observada
VEN_0037_3,PERF_0037,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,95.14,baja,train,3.86,95.14,0.77,0.23,0.0,0.0,0.0,2,1.0,aumento_observado,disminucion_observada
VEN_0036_3,PERF_0036,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,97.58,baja,train,97.58,0.51,1.91,0.0,0.0,0.0,0.0,3,2.0,estabilidad_observada,disminucion_observada
VEN_0035_3,PERF_0035,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,99.93,baja,train,0.0,0.0,0.0,0.0,0.07,99.93,0.0,1,2.0,disminucion_observada,estabilidad_observada
VEN_0015_3,PERF_0015,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.95,baja,train,98.95,0.41,0.64,0.0,0.0,0.0,0.0,4,1.0,disminucion_observada,disminucion_observada
VEN_0014_3,PERF_0014,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2,3.0,disminucion_observada,disminucion_observada
VEN_0013_3,PERF_0013,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.3,baja,train,0.0,0.0,0.0,0.33,99.3,0.37,0.0,1,,estabilidad_observada,estabilidad_observada
VEN_0012_3,PERF_0012,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,76.03,baja,validation,0.0,1.62,21.02,76.03,0.44,0.0,0.89,2,4.0,estabilidad_observada,estabilidad_observada
VEN_0011_3,PERF_0011,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,99.09,baja,train,0.0,0.0,0.3,0.62,0.0,0.0,99.09,2,6.0,disminucion_observada,aumento_observado
VEN_0010_3,PERF_0010,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,83.86,baja,train,0.35,8.27,83.86,5.84,0.0,0.0,1.68,2,3.0,aumento_observado,disminucion_observada
VEN_0009_3,PERF_0009,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.91,baja,train,1.81,97.91,0.15,0.14,0.0,0.0,0.0,2,6.0,estabilidad_observada,disminucion_observada
VEN_0008_3,PERF_0008,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,93.67,baja,train,93.67,1.72,4.45,0.16,0.0,0.0,0.0,1,2.0,estabilidad_observada,disminucion_observada
VEN_0007_3,PERF_0007,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3,2.0,estabilidad_observada,aumento_observado
VEN_0006_3,PERF_0006,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.41,baja,train,0.0,0.0,0.32,0.12,99.41,0.05,0.09,2,6.0,disminucion_observada,disminucion_observada
VEN_0005_3,PERF_0005,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,69.68,media,train,0.12,1.03,26.4,69.68,0.14,0.0,2.63,2,5.0,disminucion_observada,aumento_observado
VEN_0004_3,PERF_0004,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,96.21,baja,train,0.0,0.09,2.94,0.76,0.0,0.0,96.21,1,8.0,estabilidad_observada,aumento_observado
VEN_0003_3,PERF_0003,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,85.85,baja,train,13.84,0.03,85.85,0.28,0.0,0.0,0.0,1,3.0,aumento_observado,disminucion_observada
VEN_0002_3,PERF_0002,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.71,baja,train,4.07,93.71,1.68,0.54,0.0,0.0,0.0,1,,estabilidad_observada,disminucion_observada
VEN_0001_3,PERF_0001,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.36,baja,train,98.36,1.07,0.56,0.0,0.0,0.0,0.0,3,6.0,disminucion_observada,estabilidad_observada
VEN_0016_3,PERF_0016,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,92.89,baja,test,4.93,92.89,2.11,0.07,0.0,0.0,0.0,2,1.0,aumento_observado,disminucion_observada
VEN_0072_3,PERF_0072,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.85,baja,train,4.79,93.85,1.0,0.36,0.0,0.0,0.0,3,7.0,disminucion_observada,estabilidad_observada
VEN_0017_3,PERF_0017,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,85.21,baja,train,0.63,6.03,85.21,6.41,0.0,0.0,1.72,2,2.0,disminucion_observada,estabilidad_observada
VEN_0019_3,PERF_0019,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,64.09,media,test,0.0,2.43,27.12,64.09,5.67,0.0,0.69,3,6.0,aumento_observado,estabilidad_observada
VEN_0034_3,PERF_0034,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,93.65,baja,train,0.0,0.15,2.32,2.54,93.65,0.0,1.34,1,3.0,disminucion_observada,estabilidad_observada
VEN_0033_3,PERF_0033,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,74.91,media,train,0.28,6.58,16.53,74.91,0.0,0.0,1.7,2,7.0,aumento_observado,estabilidad_observada
VEN_0032_3,PERF_0032,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,96.49,baja,test,0.0,0.58,1.25,0.95,0.73,0.0,96.49,1,7.0,disminucion_observada,aumento_observado
VEN_0031_3,PERF_0031,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,86.51,baja,train,0.0,0.12,86.51,7.35,0.07,0.0,5.94,3,3.0,disminucion_observada,estabilidad_observada
VEN_0030_3,PERF_0030,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,89.96,baja,train,9.87,89.96,0.17,0.0,0.0,0.0,0.0,2,4.0,aumento_observado,disminucion_observada
VEN_0029_3,PERF_0029,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.81,baja,train,98.81,0.84,0.35,0.0,0.0,0.0,0.0,2,3.0,disminucion_observada,estabilidad_observada
